,j,R,RV
2020-11-30,2.1364456449282914,0.6427986010920843,1312.214045895937
2020-11-27,2.1364456449282914,0.363222543472799,1241.760879375877
2020-11-26,2.1364456449282914,0.2240163491164839,1206.6809183980859
2020-11-25,2.1364456449282914,0.472528594522292,1269.3060042403495
2020-11-24,2.1364456449282914,0.49320574268717043,1274.5166455778988
2020-11-23,2.1364456449282914,0.4989127573495918,1275.954813272829
2020-11-20,2.1364456449282914,0.3651321419558461,1242.242098193605
2020-11-19,2.1364456449282914,0.5312886172747365,1284.1135299739653
2020-11-18,2.1364456449282914,0.5798881455514868,1296.3606110997066
2020-11-17,2.1364456449282914,0.5840004935471447,1297.3969227946125
2020-11-16,2.1364456449282914,0.9924067851800171,1400.315308286096
2020-11-13,2.1364456449282914,0.6439784089333687,1312.5113574719408
2020-11-12,2.1364456449282914,0.9557911130616791,1391.0881589122748
2020-11-11,2.1364456449282914,1.0755255793210925,1421.2612444096471
2020-11-10,2.1364456449282914,1.930427401601579,1636.6965036243298
2020-11-09,2.1364456449282914,4.626162135820467,2316.0216566474896
2020-11-06,2.1364456449282914,1.0991441002108155,1427.2131116738574
2020-11-05,2.1364456449282914,1.565382152347745,1544.7051008123635
2020-11-04,2.1364456449282914,3.578394326539716,2051.9841687087405
2020-11-03,2.1364456449282914,0.9275689298153899,1383.9761687342102
2020-11-02,2.1364456449282914,1.5118633751434984,1531.2183689568935
2020-10-30,2.1364456449282914,1.7904735518423613,1601.428133485007
2020-10-29,2.1364456449282914,1.9849563288884862,1650.4377933006303
2020-10-28,2.1364456449282914,1.8327800393429712,1612.0893683351605
2020-10-27,2.1364456449282914,0.8542520322223083,1365.5003105407534
2020-10-26,2.1364456449282914,0.7422051230752293,1337.2644894356897
2020-10-23,2.1364456449282914,0.5853200959718909,1297.7294626056485
2020-10-22,2.1364456449282914,0.715458191732142,1330.5242627372315
2020-10-21,2.1364456449282914,0.8847760040870033,1373.1923514506566
2020-10-20,2.1364456449282914,0.7308103913162717,1334.3930170324322
2020-10-19,2.1364456449282914,0.6375809275562344,1310.8991921649028
2020-10-16,2.1364456449282914,0.652332065222723,1314.6164788568578
2020-10-15,2.1364456449282914,0.7599892577873393,1341.7460913831412
2020-10-14,2.1364456449282914,0.4048023958965241,1252.2390021866559
2020-10-13,2.1364456449282914,0.5099901653126058,1278.7463200795085
2020-10-12,2.1364456449282914,0.3484178295116796,1238.030091457675
2020-10-09,2.1364456449282914,0.3417567385464522,1236.351496534438
2020-10-08,2.1364456449282914,0.4742958600150794,1269.7513551445318
2020-10-07,2.1364456449282914,0.47244745098460184,1269.2855560688515
2020-10-06,2.1364456449282914,0.8853781502621367,1373.3440922867903
2020-10-05,2.1364456449282914,0.49651553309715896,1275.3507127612158
2020-10-02,2.1364456449282914,1.0938628174802745,1425.882228425761
2020-10-01,2.1364456449282914,0.8829682204362169,1372.7367899706585
2020-09-29,2.1364456449282914,0.5549640713486982,1290.0797444006039
2020-09-28,2.1364456449282914,0.662419378768803,1317.15848187047
2020-09-25,2.1364456449282914,0.938532572682705,1386.7390067367735
2020-09-24,2.1364456449282914,1.1576367919353716,1441.9532699884455
2020-09-23,2.1364456449282914,1.0047658326198403,1403.4297882409317
2020-09-22,2.1364456449282914,0.8283891026481122,1358.982852288056
2020-09-21,2.1364456449282914,1.4506177890251757,1515.7844812550761
2020-09-18,2.1364456449282914,0.7697932743848277,1344.2167035657085
2020-09-17,2.1364456449282914,0.8499915448988661,1364.426667735246
2020-09-16,2.1364456449282914,0.5134694078209732,1279.623089191617
2020-09-15,2.1364456449282914,0.5587712362050855,1291.0391499444136
2020-09-14,2.1364456449282914,0.5979072351088734,1300.9014216681678
2020-09-11,2.1364456449282914,1.0068344136886362,1403.951070670268
2020-09-10,2.1364456449282914,1.3751322860041106,1496.7621344937677
2020-09-09,2.1364456449282914,1.0785842166641204,1422.0320210200903
2020-09-08,2.1364456449282914,1.5311802912949553,1536.0862318270606
2020-09-07,2.1364456449282914,0.9746533061224283,1395.8414315635837
2020-09-04,2.1364456449282914,2.3381429404634346,1739.4408194175173
2020-09-03,2.1364456449282914,1.6426343522052926,1564.1726551764655
2020-09-02,2.1364456449282914,0.8399980994988393,1361.9083194944392
2020-09-01,2.1364456449282914,1.0443502957704687,1413.4050729548899
2020-08-28,2.1364456449282914,0.7945128132531069,1350.4460273605148
2020-08-27,2.1364456449282914,0.5678426015484868,1293.3251340109507
2020-08-26,2.1364456449282914,0.4461142027208238,1262.6495775063795
2020-08-25,2.1364456449282914,0.5446144149740532,1287.4716309941932
2020-08-24,2.1364456449282914,0.5913758558078432,1299.2555140843083
2020-08-21,2.1364456449282914,0.717936198279111,1331.148720387068
2020-08-20,2.1364456449282914,0.6117195210225542,1304.3821177184154
2020-08-19,2.1364456449282914,0.594386090276375,1300.0140931703784
2020-08-18,2.1364456449282914,0.6696548118715517,1318.9818110123629
2020-08-17,2.1364456449282914,0.6252303742222228,1307.7868527247322
2020-08-14,2.1364456449282914,0.8059201096682348,1353.320666057127
2020-08-13,2.1364456449282914,0.6709900565335637,1319.3182926671898
2020-08-12,2.1364456449282914,0.5774122472830546,1295.7366847360615
2020-08-11,2.1364456449282914,0.7438479728886382,1337.6784875886688
2020-08-10,2.1364456449282914,0.6596273833952553,1316.4548990363362
2020-08-07,2.1364456449282914,0.8084746360529292,1353.96440670607
2020-08-06,2.1364456449282914,0.6796782395533456,1321.507714788175
2020-08-05,2.1364456449282914,0.5648356737999277,1292.5673882183135
2020-08-04,2.1364456449282914,0.8581025106777045,1366.4706311115133
