,j,R,RV
2020-11-30,-12.633936017233873,1.6264844034602945,40633.191570136936
2020-11-29,-12.633936017233873,0.08234780761503202,40244.06914798393
2020-11-27,-12.633936017233873,0.7695843877358198,40417.252766174366
2020-11-26,-12.633936017233873,0.5927444765370792,40372.68910855229
2020-11-25,-12.633936017233873,1.5813671000579153,40621.82200967954
2020-11-24,-12.633936017233873,0.9490230356115399,40462.47130543905
2020-11-23,-12.633936017233873,0.8844506658067535,40446.19906824824
2020-11-22,-12.633936017233873,0.04420568201888252,40234.4573323337
2020-11-20,-12.633936017233873,0.661861431677427,40390.10658124766
2020-11-19,-12.633936017233873,1.0973379972194137,40499.84667576424
2020-11-18,-12.633936017233873,0.8992663640611729,40449.932624208355
2020-11-17,-12.633936017233873,0.9193983573275343,40455.005886511484
2020-11-16,-12.633936017233873,1.327491001040373,40557.84523272712
2020-11-15,-12.633936017233873,0.0953966590289341,40247.35745854023
2020-11-13,-12.633936017233873,0.9897661759950697,40472.738576815704
2020-11-12,-12.633936017233873,1.4024280133637248,40576.72935983261
2020-11-11,-12.633936017233873,1.5674942653326838,40618.326055328784
2020-11-10,-12.633936017233873,2.8372131113022374,40938.29520451311
2020-11-09,-12.633936017233873,4.7159595111414845,41411.739297272594
2020-11-08,-12.633936017233873,0.15150973786164482,40261.497954406084
2020-11-06,-12.633936017233873,1.216977779588561,40529.99590092126
2020-11-05,-12.633936017233873,1.352097378836133,40564.04603993165
2020-11-04,-12.633936017233873,2.6899552942409084,40901.186234613655
2020-11-03,-12.633936017233873,1.119233635819332,40505.36437669142
2020-11-02,-12.633936017233873,0.9382834610790715,40459.76493265687
2020-11-01,-12.633936017233873,0.13029731773019082,40256.15242453295
2020-10-30,-12.633936017233873,1.2739360125110613,40544.34937561773
2020-10-29,-12.633936017233873,0.9979729764137405,40474.8066905212
2020-10-28,-12.633936017233873,0.7382689148858831,40409.36126701618
2020-10-27,-12.633936017233873,0.7805215852395775,40420.00893994531
2020-10-26,-12.633936017233873,0.3876255742468748,40320.999145175156
2020-10-25,-12.633936017233873,0.04298979224338589,40234.15092811028
2020-10-23,-12.633936017233873,0.30161255634388495,40299.3238646636
2020-10-22,-12.633936017233873,0.3839361675223268,40320.06941468057
2020-10-21,-12.633936017233873,0.4319776403046967,40332.17586582173
2020-10-20,-12.633936017233873,0.46958656322870984,40341.65331439858
2020-10-19,-12.633936017233873,0.485040688158143,40345.5477538808
2020-10-18,-12.633936017233873,0.03931910020429832,40233.22591371643
2020-10-16,-12.633936017233873,0.4722084721164761,40342.31403543829
2020-10-15,-12.633936017233873,0.4555057554773004,40338.10495084523
2020-10-14,-12.633936017233873,0.35906658387062224,40313.80227960034
2020-10-13,-12.633936017233873,0.38716908485408047,40320.88410984817
2020-10-12,-12.633936017233873,0.31680762697593945,40303.15302246288
2020-10-11,-12.633936017233873,0.04347539266215568,40234.27329941581
2020-10-09,-12.633936017233873,0.35060372402681,40311.669638919695
2020-10-08,-12.633936017233873,0.6190787634243442,40379.32534884788
2020-10-07,-12.633936017233873,0.4177260588454207,40328.58446729399
2020-10-06,-12.633936017233873,0.7023221603191455,40400.30268486537
2020-10-05,-12.633936017233873,0.4405115148046972,40334.32640219572
2020-10-04,-12.633936017233873,0.12246895829858642,40254.179677956185
2020-10-02,-12.633936017233873,1.6385445630933382,40636.23073036447
2020-10-01,-12.633936017233873,0.7361585780894526,40408.82946214348
2020-09-29,-12.633936017233873,0.7845448606853477,40421.02280535765
2020-09-28,-12.633936017233873,0.5831760746469772,40370.27787127598
2020-09-27,-12.633936017233873,0.06711484099433535,40240.23044039551
2020-09-25,-12.633936017233873,0.7448392867650739,40411.01700072974
2020-09-24,-12.633936017233873,1.1834097441735392,40521.536755996676
2020-09-23,-12.633936017233873,0.8063701284520932,40426.52277283488
2020-09-22,-12.633936017233873,1.3043138409798378,40552.00458839186
2020-09-21,-12.633936017233873,1.6690088305420434,40643.90772576154
2020-09-20,-12.633936017233873,0.10566242037920423,40249.94443040051
2020-09-18,-12.633936017233873,0.517707387092055,40353.77976201214
2020-09-17,-12.633936017233873,0.6860311305700056,40396.197345368586
2020-09-16,-12.633936017233873,0.3378659836617977,40308.45972834772
2020-09-15,-12.633936017233873,0.4071462219394438,40325.91834839369
2020-09-14,-12.633936017233873,0.43933955466260216,40334.03106823992
2020-09-13,-12.633936017233873,0.12940498619139917,40255.927556985174
2020-09-11,-12.633936017233873,0.7553142729292288,40413.65669724311
2020-09-10,-12.633936017233873,0.9976532331418471,40474.72611521669
2020-09-09,-12.633936017233873,1.0249293125251002,40481.59968722127
2020-09-08,-12.633936017233873,1.7012985291987546,40652.044729823036
2020-09-07,-12.633936017233873,0.6327770111972245,40382.77730728664
2020-09-06,-12.633936017233873,0.24900919990368248,40286.067818840675
2020-09-04,-12.633936017233873,2.193013267035597,40775.956843757915
2020-09-03,-12.633936017233873,1.8873024760243835,40698.91772442309
2020-09-02,-12.633936017233873,0.707894869554966,40401.70700759279
2020-09-01,-12.633936017233873,0.8606665712866245,40440.205476429175
2020-08-30,-12.633936017233873,0.22732406922968565,40280.60316591083
2020-08-28,-12.633936017233873,6.510400523078549,41863.93843228074
2020-08-27,-12.633936017233873,0.6708227805679514,40392.36484116807
2020-08-26,-12.633936017233873,0.5879927188855845,40371.49166562411
2020-08-25,-12.633936017233873,0.729229843484856,40407.083421023126
2020-08-24,-12.633936017233873,0.7315044288753815,40407.65661654154
2020-08-23,-12.633936017233873,0.07708499129995888,40242.74291827253
2020-08-21,-12.633936017233873,0.8607295467343571,40440.221346242
2020-08-20,-12.633936017233873,0.7343191524686135,40408.36592688703
2020-08-19,-12.633936017233873,0.6086067142121215,40376.6863924464
2020-08-18,-12.633936017233873,0.7341385772596187,40408.32042193437
2020-08-17,-12.633936017233873,0.5964269839283098,40373.61710041487
