,open,high,low,last,close,volume,date,symbol,exchange
19,63.64,63.64,61.78,62.63,61.47,1362.0,2020-11-28T02:00:00+0000,MARUY,IEXG
20,2.69,2.7,2.65,2.67,2.72,192219.0,2020-11-28T02:00:00+0000,MFG,IEXG
21,4.5,4.51,4.475,4.49,4.55,618155.0,2020-11-28T02:00:00+0000,MUFG,IEXG
22,10.9,10.91,10.75,10.865,10.82,94198.0,2020-11-28T02:00:00+0000,PCRFY,IEXG
23,34.95,35.08,34.74,34.79,33.13,311433.0,2020-11-28T02:00:00+0000,SFTBY,IEXG
24,6.07,6.09,6.02,6.03,6.1,495263.0,2020-11-28T02:00:00+0000,SMFG,IEXG
25,12.26,12.26,12.26,12.26,12.26,0.0,2020-11-28T02:00:00+0000,SMTOF,IEXG
26,93.98,94.5,93.82,94.07,93.23,666878.0,2020-11-28T02:00:00+0000,SNE,IEXG
27,140.1,141.155,140.04,140.16,141.31,77346.0,2020-11-28T02:00:00+0000,TM,IEXG
28,2.68,2.695,2.66,,2.72,0.0,2020-11-27T21:00:00+0000,MFG,IEXG
29,4.515,4.515,4.475,,4.55,310.0,2020-11-27T21:00:00+0000,MUFG,IEXG
30,6.075,6.085,6.025,,6.1,5.0,2020-11-27T21:00:00+0000,SMFG,IEXG
31,94.0,94.3,93.82,,93.23,902.0,2020-11-27T21:00:00+0000,SNE,IEXG
32,140.26,141.155,140.07,,141.31,50.0,2020-11-27T21:00:00+0000,TM,IEXG
33,94.12,94.3,93.82,94.0,93.23,17393.0,2020-11-27T17:00:00+0000,SNE,IEXG
34,2.68,2.695,2.66,2.68,2.72,1248.0,2020-11-27T16:00:00+0000,MFG,IEXG
35,94.12,94.3,93.82,94.11,93.23,10652.0,2020-11-27T16:00:00+0000,SNE,IEXG
36,28.85,29.015,28.82,28.925,29.35,2721.0,2020-11-27T15:00:00+0000,HMC,IEXG
37,140.26,141.155,140.07,140.1,141.31,503.0,2020-11-27T15:00:00+0000,TM,IEXG
38,81.7,81.7,80.8,80.84,81.79,34569.0,2020-11-26T02:00:00+0000,TOELY,IEXG
39,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-26T02:00:00+0000,TYHOF,IEXG
40,18.67,18.87,18.66,18.85,18.65,691457.0,2020-11-26T02:00:00+0000,CAJ,IEXG
41,12.9,12.9,12.9,12.9,12.9,0.0,2020-11-26T02:00:00+0000,CHUEF,IEXG
42,29.23,29.38,29.04,29.35,29.73,733942.0,2020-11-26T02:00:00+0000,HMC,IEXG
43,76.255,76.89,76.25,76.51,77.17,26911.0,2020-11-26T02:00:00+0000,HTHIY,IEXG
44,61.09,61.58,60.88,61.47,61.74,4406.0,2020-11-26T02:00:00+0000,MARUY,IEXG
45,2.72,2.74,2.7,2.72,2.8,318552.0,2020-11-26T02:00:00+0000,MFG,IEXG
46,4.55,4.55,4.5,4.55,4.62,1604215.0,2020-11-26T02:00:00+0000,MUFG,IEXG
47,10.95,10.95,10.73,10.82,10.74,208246.0,2020-11-26T02:00:00+0000,PCRFY,IEXG
48,32.75,33.13,32.75,33.13,32.77,196573.0,2020-11-26T02:00:00+0000,SFTBY,IEXG
49,6.14,6.15,6.095,6.1,6.23,1787425.0,2020-11-26T02:00:00+0000,SMFG,IEXG
50,12.26,12.26,12.26,12.26,12.26,0.0,2020-11-26T02:00:00+0000,SMTOF,IEXG
51,93.4,93.5,91.91,93.23,90.8,1649671.0,2020-11-26T02:00:00+0000,SNE,IEXG
52,140.97,141.54,140.03,141.31,143.84,231393.0,2020-11-26T02:00:00+0000,TM,IEXG
53,93.42,93.46,91.93,92.91,90.8,54898.0,2020-11-25T20:00:00+0000,SNE,IEXG
