Date,AAPL,MSFT,AMZN,GOOG,GOOGL,FB,TSLA,BABA,TSM,BRK-A,BRK-B,V,JNJ,WMT,JPM,PG,MA,UNH,DIS,NVDA,HD,BAC,PYPL,VZ,CMCSA,ADBE,NKE,NFLX,KO,TM,T,INTC,ASML,NVS,MRK,PFE,CRM,PEP,ABT,TMO,XOM,CSCO,ABBV,ORCL,CVX,ACN,AVGO,QCOM,DHR
2020-01-02,74.05999755859375,158.77999877929688,1875.0,1341.550048828125,1348.4100341796875,206.75,84.9000015258789,216.60000610351562,59.599998474121094,341150,227.50999450683594,189.0,145.8699951171875,118.86000061035156,139.7899932861328,124.5,300.4599914550781,293.9800109863281,145.2899932861328,238.75,219.0800018310547,35.349998474121094,109.47000122070312,61.380001068115234,45.36000061035156,330.0,101.36000061035156,326.1000061035156,55.31999969482422,142.0,39.15999984741211,60.2400016784668,301.2699890136719,94.69000244140625,91.08000183105469,37.28652572631836,163.9199981689453,136.8699951171875,86.05999755859375,326.0,70.23999786376953,48.060001373291016,89.08000183105469,53.27000045776367,120.80999755859375,210.86000061035156,319.32000732421875,89.05000305175781,153.9600067138672
2020-01-03,74.2874984741211,158.32000732421875,1864.5,1347.8599853515625,1348.0,207.2100067138672,88.0999984741211,216.35000610351562,58.970001220703125,338207,225.69000244140625,188.41000366210938,143.5,118.2699966430664,137.5,122.16000366210938,299.4599914550781,287.2699890136719,146.39999389648438,235.10000610351562,217.13999938964844,34.97999954223633,109.48999786376953,60.59000015258789,44.83000183105469,329.1700134277344,100.58999633789062,326.7799987792969,54.31999969482422,141.22999572753906,38.58000183105469,59.810001373291016,298.0400085449219,94.11000061035156,90.68000030517578,36.736244201660156,165.05999755859375,135.4600067138672,85.75,321.4800109863281,71.33999633789062,47.90999984741211,88.16999816894531,52.9900016784668,121.77999877929688,208.5,317.510009765625,87.26000213623047,153.42999267578125
2020-01-06,73.44750213623047,157.0800018310547,1860.0,1350.0,1351.6300048828125,206.6999969482422,88.09400177001953,214.88999938964844,57.599998474121094,337750,224.99000549316406,188.0,144.0,117.4000015258789,136.55999755859375,122.56999969482422,297.3599853515625,288.0,145.5399932861328,232.32000732421875,216.49000549316406,34.40999984741211,107.56999969482422,60.11000061035156,44.65999984741211,328.2900085449219,100.94999694824219,323.1199951171875,54.650001525878906,139.4600067138672,38.9900016784668,59.59000015258789,293.1700134277344,94.66999816894531,91.2300033569336,36.831119537353516,165.0,135.3000030517578,85.62000274658203,319.8399963378906,70.31999969482422,47.13999938964844,88.22000122070312,53.36000061035156,121.23999786376953,208.27000427246094,310.8500061035156,85.91000366210938,153.4499969482422
2020-01-07,74.95999908447266,159.32000732421875,1904.5,1397.93994140625,1400.4599609375,212.82000732421875,92.27999877929688,217.63999938964844,57.45000076293945,340000,227.25999450683594,189.58999633789062,144.00999450683594,117.26000213623047,137.27999877929688,122.87999725341797,301.739990234375,290.70001220703125,145.99000549316406,238.1999969482422,219.5,34.70000076293945,111.5,60.099998474121094,44.25,334.1499938964844,101.80999755859375,336.4700012207031,54.45000076293945,142.1300048828125,39.08000183105469,59.779998779296875,298.6700134277344,95.08999633789062,90.80000305175781,37.11574935913086,173.22999572753906,136.0,85.7699966430664,325.42999267578125,70.5,47.720001220703125,88.93000030517578,53.88999938964844,119.0199966430664,203.1999969482422,315.25,87.04000091552734,155.02000427246094
2020-01-08,74.29000091552734,158.92999267578125,1898.0400390625,1392.0799560546875,1394.8199462890625,213.0,94.73999786376953,216.60000610351562,58.189998626708984,339450,226.02999877929688,189.49000549316406,144.8699951171875,116.30000305175781,135.6999969482422,122.19000244140625,300.7799987792969,291.5,145.49000549316406,239.75999450683594,218.8000030517578,34.56999969482422,110.4000015258789,59.66999816894531,44.939998626708984,333.80999755859375,101.30999755859375,331.489990234375,54.27000045776367,140.91000366210938,39.33000183105469,58.88999938964844,300.6600036621094,94.48999786376953,89.08999633789062,36.774192810058594,175.22999572753906,134.4600067138672,86.23999786376953,326.17999267578125,70.11000061035156,46.970001220703125,89.1500015258789,53.939998626708984,118.55000305175781,204.0,312.9800109863281,88.9000015258789,157.3000030517578
2020-01-09,76.80999755859375,161.83999633789062,1909.8900146484375,1420.5699462890625,1421.9300537109375,217.5399932861328,99.41999816894531,221.5,59.689998626708984,341100,226.9199981689453,193.0,145.75999450683594,116.1500015258789,138.0500030517578,122.51000213623047,308.2799987792969,294.2900085449219,146.47000122070312,243.85000610351562,222.63999938964844,35.29999923706055,112.98999786376953,58.88999938964844,45.38999938964844,340.1400146484375,101.94000244140625,342.0,55.0,141.16000366210938,38.91999816894531,59.04999923706055,303.2799987792969,94.86000061035156,88.94999694824219,37.25806427001953,178.83999633789062,135.2899932861328,86.30000305175781,329.3800048828125,69.13999938964844,47.790000915527344,90.01000213623047,54.25,117.58999633789062,205.5,312.32000732421875,89.66000366210938,156.97999572753906
2020-01-10,77.6500015258789,162.82000732421875,1905.3699951171875,1427.56005859375,1429.469970703125,219.1999969482422,96.35800170898438,223.89999389648438,59.70000076293945,342796,228.5,193.5,145.75,117.23999786376953,137.2100067138672,123.9000015258789,311.5799865722656,296.07000732421875,145.3000030517578,247.3300018310547,224.75,35.0,113.63999938964844,59.02000045776367,45.630001068115234,342.04998779296875,101.88999938964844,337.1300048828125,55.47999954223633,140.0,38.810001373291016,59.56999969482422,300.04998779296875,94.45999908447266,89.72000122070312,36.9829216003418,179.83999633789062,135.1699981689453,86.79000091552734,331.3800048828125,69.93000030517578,47.47999954223633,90.2300033569336,54.54999923706055,117.5199966430664,206.92999267578125,305.45001220703125,90.51000213623047,158.24000549316406
2020-01-13,77.91000366210938,161.75999450683594,1891.31005859375,1436.1300048828125,1435.25,219.60000610351562,98.69999694824219,228.80999755859375,60.150001525878906,340600,227.0500030517578,194.44000244140625,145.47999572753906,116.37999725341797,136.19000244140625,124.0,313.260009765625,294.3699951171875,144.75,247.66000366210938,224.5,34.84000015258789,113.9800033569336,59.02000045776367,44.91999816894531,341.5400085449219,101.0,331.79998779296875,55.529998779296875,140.16000366210938,38.540000915527344,59.16999816894531,298.67999267578125,93.91999816894531,89.5199966430664,37.59013366699219,181.25999450683594,134.64999389648438,85.5,328.8900146484375,69.19999694824219,47.310001373291016,89.5,54.459999084472656,116.47000122070312,207.49000549316406,300.0199890136719,91.05000305175781,158.4499969482422
2020-01-14,79.17500305175781,163.38999938964844,1885.8800048828125,1439.010009765625,1440.0,221.61000061035156,108.85199737548828,230.0500030517578,60.15999984741211,341101,227.85000610351562,196.74000549316406,145.0500030517578,115.47000122070312,137.94000244140625,124.6500015258789,316.17999267578125,285.6000061035156,143.41000366210938,250.25999450683594,222.47999572753906,35.29999923706055,115.51499938964844,59.0,45.56999969482422,347.010009765625,102.44999694824219,344.3999938964844,56.2400016784668,140.4199981689453,38.060001373291016,59.4900016784668,299.1499938964844,94.08999633789062,89.2699966430664,37.40986633300781,183.5,136.17999267578125,84.12999725341797,330.4700012207031,69.37999725341797,47.959999084472656,87.0999984741211,54.52000045776367,116.5,209.5500030517578,302.0,91.12999725341797,159.86000061035156
2020-01-15,77.9625015258789,162.6199951171875,1872.25,1430.2099609375,1433.02001953125,220.61000061035156,105.9520034790039,226.64999389648438,59.66999816894531,340450,226.8000030517578,197.0,146.39999389648438,114.62999725341797,137.85000610351562,125.05999755859375,312.19000244140625,289.0199890136719,145.7100067138672,247.7899932861328,222.27999877929688,34.77000045776367,115.13999938964844,59.25,46.060001373291016,346.4200134277344,103.25,338.67999267578125,56.0,139.61000061035156,37.970001220703125,59.29999923706055,301.6000061035156,94.83000183105469,90.0999984741211,38.13092803955078,181.67999267578125,137.0399932861328,86.11000061035156,333.0,69.19999694824219,47.91999816894531,88.18000030517578,54.880001068115234,116.30000305175781,208.0,307.30999755859375,90.75,161.5500030517578
