Date,EW,VW
2020-01-02,88.78529339551926,423.409333041509
2020-01-03,88.53837741613388,422.6248311519622
2020-01-06,88.68753001213074,423.3075881406996
2020-01-07,89.40630843877793,427.6190284209781
2020-01-08,88.57452465057374,422.53332721286347
2020-01-09,89.2377675318718,426.1722044743432
2020-01-10,88.94814391851425,424.92356658829584
2020-01-13,89.1233651804924,425.8485903284285
2020-01-14,89.21914117097855,426.3358748425378
2020-01-15,88.6240029668808,422.9560210058424
2020-01-16,88.62052718162536,422.88209868960905
2020-01-17,89.19211851119995,426.0731671057807
2020-01-21,89.51575835466384,428.50118841913013
2020-01-22,89.15128093957901,426.300950606664
2020-01-23,88.59581132650375,423.10169536060755
2020-01-24,88.74893954992294,424.3380288177066
2020-01-27,87.85311144113541,419.904289322959
2020-01-28,87.69814063310623,418.60244136916265
2020-01-29,87.76629649639129,419.41378958596124
2020-01-30,87.17249164104462,416.6615094481574
2020-01-31,87.00579197883606,417.1084735997518
2020-02-03,86.74000806808472,414.9830231984456
2020-02-04,87.23108405351638,417.0014907805125
2020-02-05,88.52997177600861,424.2666327942742
2020-02-06,89.94546058416367,432.3324759917789
2020-02-07,89.56038325071334,430.0963840177324
2020-02-10,89.2515077471733,428.10122213893465
2020-02-11,89.27647877454757,427.6175515948401
2020-02-12,88.801277449131,425.39340816179913
2020-02-13,88.6577157831192,425.30273987876046
2020-02-14,88.02770087003708,422.43036840968665
2020-02-18,87.2491301727295,418.78909467909074
2020-02-19,87.03545750617981,417.2835294469197
2020-02-20,86.87951789855957,417.6640885077582
2020-02-21,87.11670600414276,419.27313110139636
2020-02-24,85.5864802956581,412.3454014089372
2020-02-25,84.87101552486419,408.5847456084357
2020-02-26,85.07361067533493,409.18741708861455
2020-02-27,83.24912831783294,400.6697612232632
2020-02-28,81.64758533716201,392.4870124149322
2020-03-02,81.4740292954445,390.6032298374176
2020-03-03,80.51989888668061,386.0069700855679
2020-03-04,81.1245026421547,388.8015138763852
2020-03-05,81.09103806972503,390.297443531884
2020-03-06,79.37040472507476,381.2256717703077
2020-03-09,75.39237210988999,361.88056605762904
2020-03-10,75.70681662797928,362.5747621122996
2020-03-11,74.22396050691604,355.80775604777864
2020-03-12,70.52417419910431,340.06158637364706
2020-03-13,69.15783765554428,330.6971837266286
2020-03-16,67.29652205467224,323.9764098739624
2020-03-17,69.26046890735626,334.1090708605449
2020-03-18,68.24191955566407,330.13965014987525
2020-03-19,68.4245255947113,330.8078089184231
2020-03-20,68.19305793046951,329.6871125592126
2020-03-23,67.19316920757294,325.42599131054345
2020-03-24,70.46277379989624,339.48355801900226
2020-03-25,73.42302966833114,355.6446472835541
2020-03-26,72.67386459589005,349.14772891680394
2020-03-27,74.19973536968232,356.7280780855814
2020-03-30,73.31062158107757,354.22361854341295
2020-03-31,70.71936638832092,340.52764737023244
2020-04-01,67.80435401916503,326.32584988064235
2020-04-02,66.8930935716629,320.99205588658646
2020-04-03,66.4617482995987,319.7564676856994
2020-04-06,68.71081077098846,330.13451644685534
2020-04-07,69.91969439983367,335.6657114982605
2020-04-08,69.9977081155777,335.32798461278276
2020-04-09,70.06777941226959,335.17872190051605
2020-04-13,69.18848435878753,330.41237012015455
2020-04-14,70.87331607818604,339.44262113783094
2020-04-15,70.36441116809846,337.1581932936774
2020-04-16,69.6048290681839,333.1439574538337
2020-04-17,69.97063023090362,334.61655238045586
2020-04-20,69.2047717666626,330.848213941786
2020-04-21,68.17579908370972,325.60368927849663
2020-04-22,67.81279806613922,323.031965698666
2020-04-23,69.32884133815766,331.3482047759162
2020-04-24,69.3123018503189,331.49791133668685
2020-04-27,70.61408217430115,337.63587562984895
2020-04-28,70.60310843944549,336.854935131073
2020-04-29,71.87721579551697,343.17258090125193
2020-04-30,72.31504965782166,347.2768857786391
2020-05-01,70.37259722709656,337.5665654118855
2020-05-04,70.22763004302979,336.99374660915794
2020-05-05,70.51034428596496,337.86573145972363
2020-05-06,70.42950885295868,337.63202823003127
2020-05-07,70.44424463748932,338.07874224556815
2020-05-08,73.34321470737457,354.01800312678023
2020-05-11,75.48652383804321,365.3754726918538
2020-05-12,74.23837812423706,358.62158609178334
2020-05-13,73.70403516769409,356.2854242875841
2020-05-14,72.47296710014344,350.3993652979533
2020-05-15,72.43258786678314,350.1679684342279
2020-05-18,73.45052895545959,354.59712382422555
2020-05-19,74.27706671714783,359.69520420922174
2020-05-20,74.770074467659,361.7279542732239
2020-05-21,74.72678557872773,362.4189965629578
2020-05-22,73.92469096660614,357.7673660935296
2020-05-26,75.83382415771484,366.45100148518884
2020-05-27,77.31294731616974,373.80700558344523
2020-05-28,78.7797713804245,380.8564086723328
2020-05-29,77.96929008960724,377.3773559252421
2020-06-01,77.60983839035035,374.3201836056179
2020-06-02,78.08591523170472,376.5093700197008
2020-06-03,79.15723301410675,381.64983146031693
2020-06-04,78.48649745941162,378.1744332038031
2020-06-05,79.31828660964966,381.62735989888506
2020-06-08,80.5596613073349,387.2025788264804
2020-06-09,79.60867786884307,382.4381328180101
2020-06-10,79.19688510894775,380.2549824184841
2020-06-11,75.8818939781189,364.7874717119005
2020-06-12,76.54103757858276,367.283243399726
2020-06-15,74.90063773155212,358.3290808402167
2020-06-16,77.02693558692933,369.34440867529975
2020-06-17,76.3423548746109,365.093502936893
2020-06-18,76.26320514202118,364.4535804727342
2020-06-19,75.53386632919312,360.800065536499
2020-06-22,74.82475108623504,356.0304294988844
2020-06-23,75.02547470569611,356.8109741910299
2020-06-24,73.97564193248749,352.60308020485775
