Date,EW,VW
2020-01-03,-4.197861169904624,
2020-01-06,0.02109722070033002,0.06581661720527976
2020-01-07,0.6665654726121307,0.4866001475594478
2020-01-08,-0.060601913457560525,-0.005064054920778483
2020-01-09,-0.1293553890751634,-0.08547044135274454
2020-01-10,-0.2016542164408959,-0.1795102662050386
2020-01-13,-0.2881033638958257,0.05746439440121362
2020-01-14,0.6003189239333185,0.7505560785425931
2020-01-15,-0.22794107413988482,-0.19446683610766174
2020-01-16,0.4674817372510985,0.3709447836201112
2020-01-17,0.2626797381842187,0.5085331152067688
2020-01-21,-0.10265218261296379,0.5355444251604203
2020-01-22,0.052739603626780186,0.2534302130732691
2020-01-23,-0.6193217649589634,-0.892164386902778
2020-01-24,0.30892580325188307,0.5747565256515321
2020-01-27,-1.8208481836855914,-1.5289343859332423
2020-01-28,0.6565887824375158,1.0178634084527598
2020-01-29,-0.023272958342104265,-0.1134989512897928
2020-01-30,-0.6543040215342559,-0.725604538682403
2020-01-31,-1.787030444651797,-0.9529143911117051
2020-02-03,0.028776296091220847,-0.15089983698814396
2020-02-04,0.8833455341521904,0.12651523150135874
2020-02-05,1.7769167823159742,1.3973522987677924
2020-02-06,0.08173047500240824,0.13866864367112464
2020-02-07,17.661776892156546,8.09661522843652
2020-02-10,0.38111274947051205,0.26733415310472813
2020-02-11,0.763476924994119,0.8008733138144688
2020-02-12,0.6682175626727529,0.2765660953639821
2020-02-13,0.07058168599418559,0.1379886955452371
2020-02-14,-0.06659728792612367,0.3311033333703115
2020-02-18,-0.007390990240592095,0.15205693082821597
2020-02-19,0.4013272727310899,0.6344311967112344
2020-02-20,-0.1318375621072275,-0.08581208801789054
2020-02-21,-0.23385359885092163,-0.4545123628203023
2020-02-24,-3.042521629164195,-2.9789560373362995
2020-02-25,-2.143009396416418,-1.6304777948672315
2020-02-26,-0.4470609459170102,-0.41934366006021423
2020-02-27,-3.7911079195954684,-3.0562303617486344
2020-02-28,-3.3741689847041445,-3.5588956006530132
2020-03-02,3.7988351938078764,2.250243782540956
2020-03-03,-0.45250004477515615,1.3144917548285842
2020-03-04,2.1246755204167767,1.7895176611358652
2020-03-05,-2.054757587102022,-1.1926020733520908
2020-03-06,-2.1094114395878236,-2.6424387447937994
2020-03-09,-6.646844090848845,-5.620531763205825
2020-03-10,2.648323669266016,0.3145634382389726
2020-03-11,-3.0065683118376496,-2.0696503689561006
2020-03-12,-10.049756884601681,-9.298871519225253
2020-03-13,3.4565446045183883,2.1425781780327497
2020-03-16,-7.368431284930784,-5.114228311016905
2020-03-17,3.997797380512543,3.1813529007959382
2020-03-18,-5.260079934931324,-2.519207644413764
2020-03-19,2.5009479133431882,2.9080906416257024
2020-03-20,0.03051865372236062,0.46076712823730254
2020-03-23,-2.332078430000086,-3.5124487263869035
2020-03-24,8.224989131784817,7.96631822960971
2020-03-25,2.3261914861610427,2.233040392894305
2020-03-26,4.775058253399339,3.0946919311461274
2020-03-27,-2.969429998545365,-2.9116095231589574
2020-03-30,2.243867844698593,2.8221859894940255
2020-03-31,0.42130966960347044,0.18548560057391075
2020-04-01,-2.6757737645966753,-1.840090007901644
2020-04-02,1.027535129640631,-0.023061852527031523
2020-04-03,-1.6523717729129277,-0.7522860509102776
2020-04-06,3.8884693468751474,2.4429243669508374
2020-04-07,2.6603078573111323,2.1104562977667074
2020-04-08,0.8875634851231081,0.05423585939283798
2020-04-09,1.7820581986393045,1.9455052919325162
2020-04-13,-1.4232375402003523,
2020-04-14,2.0982177558579984,
2020-04-15,-2.6665102271026178,-2.3593795965021176
2020-04-16,-0.37247155277191774,-0.18909593647774547
2020-04-17,2.426508536291611,1.5458183358193345
2020-04-20,0.07621618848647164,0.3651734860997552
2020-04-21,-2.543071061210284,-2.107498367899927
2020-04-22,1.0324241416034967,0.7930462420735103
2020-04-23,0.9801779024817752,0.38554965281534365
2020-04-24,-0.10357310711643032,-0.5176596458969648
2020-04-27,2.207491013815677,1.6219899954129513
2020-04-28,1.3332295164188324,1.2703584215637642
2020-04-29,1.7656468084968322,1.0479957551709607
2020-04-30,-2.1587086855684148,-2.388352375272576
2020-05-01,-2.392428212946973,
2020-05-04,-0.3042070688741074,
2020-05-05,0.8995911775814324,0.9787229292322983
2020-05-06,-0.22888379189956765,0.0052079165997448995
2020-05-07,1.2385344793745687,1.2119838547154687
2020-05-08,1.5961324812350326,1.157786367370483
2020-05-11,-0.9116569618556356,-0.3744838727240507
2020-05-12,-0.8215605142330006,-0.08732025834381302
2020-05-13,-2.1993164564521384,-1.4743526911293023
2020-05-14,-0.5475312179699461,-1.858700779886218
2020-05-15,0.7367442398752551,0.9068098151439337
2020-05-18,4.119534549904658,3.3153915806856915
2020-05-19,-0.0645169136910086,-0.15892622735032846
2020-05-20,1.6119811694250883,1.2220208166352236
2020-05-21,-0.9603546075529534,
2020-05-22,-0.5102058167294222,
2020-05-26,2.277036802757324,1.410359552838231
2020-05-27,1.3435029816576278,0.31034445978832825
2020-05-28,0.10975760468960714,0.7271378788441436
2020-05-29,-0.2752707578245023,0.24123034326784956
2020-06-01,1.979102456950569,
2020-06-02,1.2996677098851581,
2020-06-03,1.9095721897974605,1.7416448525591957
2020-06-04,0.6095457714296889,-0.018032518958950472
2020-06-05,1.3202503757500983,0.286747167281823
2020-06-08,0.6822895082792759,0.19400964078583535
2020-06-09,-1.0061062170635156,-0.5697710575025412
2020-06-10,1.5333183528829892,0.6003569794010437
2020-06-11,-4.963956694063204,-3.856142533075115
2020-06-12,1.0809157185656448,0.2705082028061486
