Date,LINDT,SGSN.SW,BARN.SW,PGHN.SW,SCMN.SW
2020-01-02,,,,,
2020-01-03,0.0,0.0,0.0,0.0,0.0
2020-01-06,-0.6912507851822217,-0.6390987235516592,1.4177612869268912,-0.044544732331746224,0.46582673104567046
2020-01-07,0.2320238201861089,-0.15134284123677685,0.7455796953987903,0.6907298969636095,0.193198615044403
2020-01-08,0.23147759790680864,-0.1894676891189168,-1.3876075857205132,1.504766719958869,0.03857257321431243
2020-01-09,0.6928381465792697,-0.6454072321782223,-0.09380655690011107,-0.43602064792506895,0.23130329992258428
2020-01-10,0.4587169639089353,-0.03821402618052113,-0.8450748927294902,-0.1532710371009981,-0.23076952240205276
2020-01-13,0.6849380360535166,0.3440383821293746,0.284096318686935,0.28508217055963064,0.07710314298275286
2020-01-14,1.7006740440993564,1.1428595097638135,0.6609979632926721,0.19681310676085434,0.6548472914072897
2020-01-15,-0.557408666234567,0.037667082798248055,0.0,0.5237902273373315,-0.8419371143099008
2020-01-16,0.22421148423463047,0.150602079868132,0.18761311380022214,-0.021711445750817304,0.9262782984140947
2020-01-17,0.5592879703430832,1.1278123300206147,0.5617969092102605,1.281212257779964,0.0
2020-01-21,0.4449313543495208,0.8550238289952341,1.6759866373169143,0.9648381245127471,1.3001908511929157
2020-01-22,1.6611323505625601,0.44231382220209037,-0.0915730639176823,-0.12741931084465674,0.1887497151409153
2020-01-23,0.0,-0.5871546965555465,0.5499532895318573,-4.954281479815211,-0.5651823653181811
2020-01-24,0.32679620775317375,2.104095220200494,-0.45578966225278694,0.7158833617365725,1.250478271113881
2020-01-27,-0.9771951864478631,-1.6268968380805975,-0.9157532330736693,-1.7547777624896999,-1.1976082464706848
2020-01-28,-0.5482493837172119,4.483649970476441,0.184838795077259,0.7913198014347499,1.6287788979062447
2020-01-29,-0.3307595622658068,-0.9848818580250652,-0.3689955432385072,0.6056562739375982,0.14910284671357626
2020-01-30,-0.22123523631482245,-0.9591431326517642,-1.574084883115008,-0.8249750593774801,-0.3349553114823834
2020-01-31,-0.33259302469080276,0.10760151559963493,0.4703681198319389,-0.539569893192018,-1.1202404252823177
2020-02-03,-0.2224744401509756,-2.2930799817462484,-0.4681660161441098,1.2432194126726857,0.2643517977321187
2020-02-04,0.3344469562437535,-4.547129910009868,0.6585223308515344,1.071670867559396,0.07533764811683426
2020-02-05,0.8888915343125701,1.882451500043325,0.8411144053942002,1.4358294799883349,0.4139942713250475
2020-02-06,0.0,-1.2443435462556325,0.0,-0.4573166530806163,2.623689504967864
2020-02-07,-0.3303952813713057,-0.5345588270079893,-0.09267636090822834,0.5031661052361873,2.5200879224403723
2020-02-10,0.0,0.23033065149727058,-0.0927623296596506,0.4571244722116457,0.28499836311999677
2020-02-11,0.22099077195740527,1.072383696296924,0.3714052864975136,1.4951202697032389,0.9946651554530922
2020-02-12,-0.2205034796156098,0.0,-0.277526081905514,-0.14944253530618734,0.4572761885546165
2020-02-13,-0.11049973841837565,-0.34103992408261385,1.1131708432411611,0.6841989736575592,-0.38515360552387934
2020-02-14,1.1061936105918233,0.9125455544482918,0.733951391706519,0.14865586265212663,0.3514924149548725
2020-02-18,1.2035025180457286,-1.2434058957525342,0.09107266544839468,0.5089005779293001,0.8406203730908134
2020-02-19,1.0810800222523447,1.068292250908839,0.7279296139017505,1.265826417691536,-0.03473524947476727
2020-02-20,0.0,-0.18874291187940614,0.36134011772388597,-0.20833941621595117,-0.20846181739195574
2020-02-21,-0.7486632187513612,-0.37821877586339137,-1.4401455035634716,-0.20876777083721076,-0.38301895774998246
2020-02-24,-3.6637912555980536,-3.264993951137169,-2.374421857118748,-4.707111683009304,-0.6291570136242168
2020-02-25,-0.4474286138771692,-1.2558941521178755,-1.3096407757377353,-0.9001083072057421,-2.1807885617984417
2020-02-26,-1.0112323149636855,0.4372085226265436,0.0,-0.6202895263827872,-0.7910814564186013
2020-02-27,-1.1350726328629266,-2.849232139328125,-1.6113738755725402,-3.5443579303337303,-3.189557826179056
2020-02-28,-3.903565991427091,-2.32178987348969,-4.479770778351965,-3.9750467345477687,-3.856239394423518
2020-03-02,-0.7168433142704075,1.0842397926253262,0.2521438698793055,1.9975907542586855,2.4143354206971885
2020-03-03,5.896511107055759,1.7326746874587629,1.8108686246996797,2.1000563902786564,2.1292822417470525
2020-03-04,1.363640392116104,1.5409484913254996,0.5928844479949931,0.64709655041716,3.4623869867019224
2020-03-05,0.0,-1.2380140193876124,-0.19646536838150283,-1.3318050963140193,0.25189617232240447
2020-03-06,-2.6905819695354287,-3.0731940044077177,-2.952757435212129,-4.258784517044827,-2.368985018592795
2020-03-09,-4.377888361042328,-4.338758059976649,-3.9046604132462246,-6.927566911468756,-4.448535759723093
2020-03-10,-2.0481917761958037,-1.1774914727311003,-1.31926456314315,-1.331938100232874,-1.8853378206103826
2020-03-11,-1.5990134872249853,-0.7502218103856249,-1.71123171041038,-1.4028577842956265,-1.1372552809376861
2020-03-12,-8.000003938957969,-8.759449361227903,-5.059843318652189,-14.174494608251592,-7.49702490753091
2020-03-13,4.211966469190711,-1.0233926866177512,0.0,0.5317442458118028,1.7367071558364324
2020-03-16,-9.778362498739225,-2.8064963466345123,1.8911180497413873,-7.125079374203981,1.2644905104073276
2020-03-17,1.1560727860238484,4.356633189198487,4.611918569253816,-7.202678788792184,9.719040829429302
2020-03-18,-4.000000450166612,1.213592694802654,0.10753113929484166,1.8050498223217644,-0.7587222662512259
2020-03-19,2.827374584929383,7.09832425412533,2.1482265521800943,3.368803217587531,0.726295512436229
