Date,EW,VW
2020-01-06,0.22509095887864486,0.48091726790134426
2020-01-07,0.1958707773485015,0.5343178037165093
2020-01-08,0.130477328153069,-0.1667573245832081
2020-01-09,0.2877648914286939,0.3758140621058186
2020-01-10,-0.31642015183107547,-0.4212508871203774
2020-01-13,0.058970672160440725,0.3352917297150918
2020-01-14,-0.01940456710858499,0.05928575722152253
2020-01-15,-0.14586358992789106,-0.2689150197414248
2020-01-16,0.11782822152073695,0.5725145331611061
2020-01-17,0.4426595828197823,0.7367296469512806
2020-01-21,-0.430222884068354,0.27114315726974847
2020-01-22,0.07667425159665836,-0.27157765472870815
2020-01-23,-0.1787932286366341,-0.17163207452820128
2020-01-24,-0.40208843395867505,-0.5996486356497128
2020-01-27,-0.6997332377940322,-0.6389431564286182
2020-01-28,0.434832193593244,0.6287859813789681
2020-01-29,-0.2556595107603361,-0.20421949186280186
2020-01-30,-0.44856256948798284,-0.256992364872919
2020-01-31,-1.0750925024642575,-0.8973552430502203
2020-02-03,0.43681546363231005,0.31333561037159297
2020-02-04,0.9048702302724975,0.8290895073492885
2020-02-05,0.49123842467225265,0.40006741524899525
2020-02-06,0.39987607277832127,0.8662510068513156
2020-02-07,-0.20483731708079578,-0.49563454812322644
2020-02-10,0.048898822959046025,-0.26332515028994796
2020-02-11,0.4156018554047825,0.39702894040543835
2020-02-12,-0.5902270575926682,-0.8451866549919242
2020-02-13,-0.49549580382214337,-0.30119988216768523
2020-02-14,-0.8709127114987893,-0.7909063405774908
2020-02-18,-0.8073514243356443,-1.12868149589346
2020-02-19,-0.1306735341023756,-0.28056140750038266
2020-02-20,-1.5150703169150612,-1.131332413289133
2020-02-21,-0.151679400326849,-0.0027077368464133306
2020-02-24,-2.346838680550243,-2.916811098773146
2020-02-25,-0.2443682453396673,-0.29856143654823886
2020-02-26,0.35229294750333595,0.6581939849604062
2020-02-27,-2.4266424539195843,-2.834002309244864
2020-02-28,-1.6872020006293806,-1.4379861474373579
2020-03-02,1.0488578618625863,0.9366489505750892
2020-03-03,-1.257924996183981,-1.0043367456480614
2020-03-04,0.7506766116881012,1.1821321317922315
2020-03-05,-1.6638124269725558,-1.484828478143418
2020-03-06,-1.5210631426598837,-1.8181349866493295
2020-03-09,-4.575021370396068,-5.1915480145487845
2020-03-10,1.257840419795881,1.865937278682093
2020-03-11,-1.8553714667934122,-2.363606532026969
2020-03-12,-6.324479675297481,-7.464876749394867
2020-03-13,0.8051481178002474,1.6141530709992313
2020-03-16,-5.7976637439472745,-6.040729842975718
2020-03-17,2.8057409799500066,3.799499345191168
2020-03-18,-1.455805099675181,-1.8687179481595382
2020-03-19,0.4274521367774133,-0.0645765357143766
2020-03-20,-0.3803933689446913,-1.2828646160119863
2020-03-23,-1.9796647931921305,-3.9483957490661643
2020-03-24,6.510346044338397,7.318532409083973
2020-03-25,2.955268198069953,3.6836828201465006
2020-03-26,1.7658234337488588,1.407683151315607
2020-03-27,1.6060351797484735,1.3769362730467631
2020-03-30,-25.597119771212775,-11.813669849192811
2020-03-31,-2.373061737256706,-3.6199778485292127
2020-04-01,-3.2037910100122184,-3.362820033410781
2020-04-02,-0.08751243256306092,0.8715605702457223
2020-04-03,-1.8275577217651504,-2.002283697160352
2020-04-06,3.9016772948010385,4.431163224622384
2020-04-07,1.7525795997355358,1.6083695771348128
2020-04-08,-1.2067173234344362,-0.2200796262844848
2020-04-09,0.49971640040350834,1.1564457251431186
2020-04-13,-0.4244421219485465,-1.0809584541301427
2020-04-14,1.4470042066257645,2.4005188986001955
2020-04-15,-1.0023592702356703,-1.257894670147885
2020-04-16,-1.032105334668084,-1.2544727815315233
2020-04-17,1.118981432105115,2.0139561184853947
2020-04-20,-0.6728286228540074,-1.0183630009124676
2020-04-21,-1.1128884112878525,-1.6046058861698018
2020-04-22,0.15928484813448254,0.17259178421931914
2020-04-23,1.1057137717535426,1.2308935795934657
2020-04-24,-0.07215698161198617,0.4331995624531148
2020-04-27,1.8135287207156259,1.5419417202915855
2020-04-28,0.8802771421714547,0.6375828297004204
2020-04-29,1.0815292473932256,1.6688512121763885
2020-04-30,-1.418031043153411,-0.7912016672113639
2020-05-01,-1.9509411245536914,-2.29983123473024
2020-05-04,-0.31030793649833555,-0.5010863637682827
2020-05-05,0.8705963336417382,1.1294541842160095
2020-05-06,-0.2541119228251971,-0.13728829678031707
2020-05-07,-0.2189083938007071,0.12024158718153458
2020-05-08,1.8313064756760213,2.7632560822547427
2020-05-11,1.9405385114381135,2.64240425608798
2020-05-12,-1.0106521193342992,-1.685135213658674
2020-05-13,-0.6661137689646864,-1.4220338737779443
2020-05-14,-1.3079536252285613,-1.0723086823723587
2020-05-15,0.24006747340248707,0.3966535801740279
2020-05-18,1.7655133567252834,1.9484046661525016
2020-05-19,-0.267785712606957,-0.6668070313572572
2020-05-20,1.189273718471767,0.9368700479830182
2020-05-21,-0.9320766833909465,-0.5494532233454203
2020-05-22,-0.3384080361742814,-0.5109054170892989
2020-05-26,3.1107085693202894,3.3451063823191474
2020-05-27,2.0100412261752663,1.6437361751829636
2020-05-28,1.641596917650999,1.8782137201819744
2020-05-29,-1.3671752280714866,-1.6468323841681223
2020-06-01,0.5688106192591836,0.40773715334604343
2020-06-02,0.6254143861190002,0.9550442615919233
2020-06-03,1.3586922197639504,1.7992026688922458
2020-06-04,-0.694858082619332,-0.9912512160319711
2020-06-05,1.8860916394318898,1.9690812934942021
2020-06-08,1.8987817689435773,1.7199042230465778
2020-06-09,-0.8450751125967733,-0.8044688726183402
