Date,JNJ,MC,HD,OR,NOVN,PEP,ABT,LLY,PM,SAP,LIN,AZN,SIN,CAT,RDSA.AS,BMY,FP.PA,ALV,MMM,GE,ABBN.SW,DPW,CS,BMW.MI,UBSG.SW,BNP.PA,CFR,PHI,LONN.SW,GLX.SW,CSGN.SW,ALCN,HPQ,PGHN.SW,SCHN,SCMN.SW,CAP,UG,LINDT,GEBN.SW,SGSN.SW,LOGN,SOON.SW,SLHNE.SW,UHR.SW,BARN.SW,ADEN.SW,TECN.SW,SRCG.SW,ZURN.SW
2020-09-24,145.25,33.150001525878906,269.70001220703125,11.850000381469727,0.5170000195503235,132.30999755859375,103.52999877929688,149.66000366210938,77.08000183105469,155.00999450683594,235.47999572753906,55.15999984741211,351.17999267578125,147.44000244140625,11.543999671936035,58.81999969482422,29.645000457763672,70.30000305175781,161.9600067138672,6.179999828338623,23.25,2.640000104904175,9.710000038146973,61.27000045776367,10.069999694824219,31.670000076293945,63.63999938964844,28.1299991607666,573.0,6.75,8.986000061035156,0.0010000000474974513,18.420000076293945,845.2000122070312,20.0,503.79998779296875,17.0,14.930000305175781,82300.0,533.2000122070312,2432.0,32.880001068115234,207.5,296.3999938964844,210.8000030517578,2006.0,47.709999084472656,459.79998779296875,109.19999694824219,326.20001220703125
2020-09-25,146.25,33.040000915527344,270.1499938964844,11.758999824523926,0.5099999904632568,133.8300018310547,103.61000061035156,150.39999389648438,76.01000213623047,153.0399932861328,233.6699981689453,55.84000015258789,355.1300048828125,146.6999969482422,11.520000457763672,59.84000015258789,28.875,69.66999816894531,160.97999572753906,6.170000076293945,23.309999465942383,2.180000066757202,9.489999771118164,60.400001525878906,10.03499984741211,31.5,62.79999923706055,27.799999237060547,568.7999877929688,6.75,9.022000312805176,0.0010000000474974513,18.459999084472656,840.0,19.479999542236328,500.3999938964844,17.0,14.9399995803833,82400.0,534.2000122070312,2455.0,32.880001068115234,205.8000030517578,296.3999938964844,212.60000610351562,2006.0,47.790000915527344,449.3999938964844,109.30000305175781,324.70001220703125
2020-09-28,148.2899932861328,34.45000076293945,274.2200012207031,11.890000343322754,0.5099999904632568,138.5800018310547,105.25,151.5800018310547,77.66000366210938,157.63999938964844,238.89999389648438,55.34000015258789,366.92999267578125,150.30999755859375,11.371999740600586,60.209999084472656,28.934999465942383,72.62000274658203,164.13999938964844,6.309999942779541,23.639999389648438,2.069999933242798,9.970000267028809,61.220001220703125,10.295000076293945,31.825000762939453,65.37999725341797,27.889999389648438,581.0,6.75,9.246000289916992,0.0010000000474974513,18.950000762939453,866.2000122070312,20.290000915527344,499.79998779296875,17.0,15.180000305175781,82500.0,540.7999877929688,2497.0,32.880001068115234,237.3000030517578,296.3999938964844,216.3000030517578,2060.0,49.06999969482422,454.20001220703125,109.0999984741211,327.29998779296875
2020-09-29,147.9199981689453,34.349998474121094,273.8399963378906,12.020000457763672,0.5080000162124634,139.5399932861328,106.41000366210938,148.44000244140625,76.12000274658203,157.52000427246094,239.2899932861328,55.20000076293945,362.9800109863281,148.97000122070312,11.246000289916992,60.939998626708984,29.075000762939453,73.9000015258789,161.9499969482422,6.230000019073486,23.709999084472656,2.069999933242798,9.899999618530273,61.900001525878906,10.220000267028809,31.520000457763672,64.75,27.68000030517578,571.2000122070312,6.75,9.215999603271484,0.0010000000474974513,19.149999618530273,865.0,19.84000015258789,495.5,17.0,15.09000015258789,81900.0,546.0,2494.0,32.880001068115234,234.39999389648438,296.3999938964844,215.5,2078.0,49.060001373291016,459.3999938964844,109.4000015258789,325.70001220703125
2020-09-30,149.72999572753906,35.415000915527344,279.9200134277344,11.97700023651123,0.5,139.19000244140625,109.4800033569336,148.4499969482422,75.29000091552734,157.02999877929688,240.02000427246094,55.45000076293945,363.4700012207031,150.9499969482422,11.156000137329102,60.63999938964844,29.735000610351562,74.29000091552734,163.10000610351562,6.289999961853027,23.639999389648438,2.0299999713897705,10.069999694824219,62.040000915527344,10.364999771118164,31.5049991607666,64.80000305175781,27.360000610351562,570.5999755859375,6.75,9.289999961853027,0.0010000000474974513,19.31999969482422,852.0,19.719999313354492,494.5,17.100000381469727,15.260000228881836,82500.0,549.5999755859375,2492.0,34.0099983215332,235.6999969482422,296.3999938964844,215.8000030517578,2060.0,49.16999816894531,463.3999938964844,109.4000015258789,324.3999938964844
2020-10-01,149.64999389648438,35.5,280.0,12.130000114440918,0.49000000953674316,140.85000610351562,110.33000183105469,148.7100067138672,74.97000122070312,157.4199981689453,238.3699951171875,55.310001373291016,359.70001220703125,150.30999755859375,10.89799976348877,60.56999969482422,29.719999313354492,77.16999816894531,161.89999389648438,6.289999961853027,23.700000762939453,2.0,10.010000228881836,62.79999923706055,10.475000381469727,31.584999084472656,64.61000061035156,27.270000457763672,578.2000122070312,6.75,9.36400032043457,0.0010000000474974513,19.280000686645508,860.5999755859375,19.56999969482422,494.1000061035156,,15.149999618530273,82600.0,550.5999755859375,2488.0,34.0,238.60000610351562,296.3999938964844,218.5,2078.0,49.43000030517578,461.6000061035156,109.30000305175781,324.70001220703125
2020-10-02,148.41000366210938,36.6349983215332,281.0799865722656,11.989999771118164,0.47999998927116394,139.91000366210938,108.66000366210938,146.94000244140625,75.12999725341797,155.88999938964844,234.97999572753906,54.7599983215332,363.25,151.25,10.46399974822998,60.0099983215332,28.43000030517578,78.11000061035156,161.94000244140625,6.400000095367432,23.639999389648438,2.440000057220459,10.140000343322754,62.380001068115234,10.364999771118164,30.635000228881836,65.44000244140625,27.68000030517578,570.0,6.75,9.260000228881836,0.0010000000474974513,19.309999465942383,850.0,19.93000030517578,497.29998779296875,17.100000381469727,15.279999732971191,83300.0,544.7999877929688,2482.0,34.0,237.39999389648438,296.3999938964844,216.39999389648438,2098.0,48.560001373291016,456.6000061035156,109.30000305175781,324.8999938964844
2020-10-05,148.3800048828125,36.9900016784668,282.4200134277344,12.154999732971191,0.4790000021457672,138.3800048828125,108.6500015258789,147.47000122070312,76.05999755859375,156.75,236.64999389648438,54.849998474121094,365.5,154.4499969482422,10.831999778747559,59.279998779296875,29.1200008392334,81.93000030517578,163.5,6.449999809265137,23.979999542236328,2.130000114440918,10.350000381469727,64.41000366210938,10.645000457763672,31.520000457763672,67.31999969482422,27.979999542236328,573.7999877929688,6.75,9.539999961853027,0.0010000000474974513,19.59000015258789,855.5999755859375,20.399999618530273,500.0,17.100000381469727,15.300000190734863,83600.0,549.5999755859375,2498.0,36.0,240.1999969482422,296.3999938964844,217.5,2106.0,49.7599983215332,455.0,108.9000015258789,329.0
2020-10-06,148.61000061035156,37.540000915527344,283.0,12.84000015258789,0.4690000116825104,138.82000732421875,108.7699966430664,147.8300018310547,76.73999786376953,156.3699951171875,237.80999755859375,54.529998779296875,370.0899963378906,155.4499969482422,11.180000305175781,59.459999084472656,29.90999984741211,82.70999908447266,165.6999969482422,6.579999923706055,24.190000534057617,2.2799999713897705,10.539999961853027,65.43000030517578,10.84000015258789,33.400001525878906,70.69000244140625,27.959999084472656,573.2000122070312,6.75,9.706000328063965,0.0010000000474974513,19.600000381469727,849.5999755859375,20.809999465942383,497.5,17.100000381469727,15.399999618530273,83300.0,546.7999877929688,2483.0,36.0,239.39999389648438,296.3999938964844,219.39999389648438,2098.0,50.70000076293945,455.0,109.19999694824219,328.20001220703125
2020-10-07,148.22999572753906,37.66999816894531,284.0,12.199999809265137,0.46399998664855957,137.52000427246094,108.18000030517578,149.88999938964844,79.69999694824219,154.60000610351562,240.00999450683594,53.93000030517578,365.6499938964844,156.05999755859375,10.960000038146973,60.97999954223633,29.579999923706055,83.62999725341797,167.75,6.400000095367432,24.139999389648438,2.700000047683716,10.520000457763672,65.48999786376953,10.829999923706055,33.29999923706055,70.37000274658203,26.950000762939453,566.2000122070312,6.75,9.684000015258789,0.0010000000474974513,19.309999465942383,857.7999877929688,21.0,495.0,18.700000762939453,15.800000190734863,83600.0,544.0,2450.0,36.0,240.8000030517578,296.3999938964844,222.8000030517578,2072.0,50.880001068115234,448.6000061035156,109.19999694824219,327.5
2020-10-08,149.85000610351562,38.15999984741211,284.95001220703125,12.015000343322754,0.46000000834465027,138.1300048828125,109.12999725341797,153.94000244140625,79.37999725341797,156.2899932861328,240.3800048828125,54.290000915527344,367.6600036621094,156.72999572753906,11.223999977111816,62.09000015258789,29.8799991607666,83.16000366210938,168.14999389648438,6.670000076293945,24.389999389648438,3.0299999713897705,10.59000015258789,66.11000061035156,10.954999923706055,34.13999938964844,70.44999694824219,26.709999084472656,562.0,6.75,9.87399959564209,0.0010000000474974513,19.510000228881836,863.7999877929688,21.350000381469727,494.6000061035156,18.700000762939453,16.350000381469727,84500.0,545.4000244140625,2453.0,36.0,246.3000030517578,296.3999938964844,224.8000030517578,2092.0,51.5,448.6000061035156,109.19999694824219,327.8999938964844
2020-10-09,151.47999572753906,38.90999984741211,287.2799987792969,12.550000190734863,0.44999998807907104,139.25999450683594,109.97000122070312,157.14999389648438,79.75,157.7100067138672,241.3300018310547,54.849998474121094,368.2200012207031,159.38999938964844,11.538000106811523,62.29999923706055,30.110000610351562,83.0999984741211,170.47999572753906,7.070000171661377,24.3799991607666,2.450000047683716,10.609999656677246,66.19999694824219,10.904999732971191,34.025001525878906,70.9000015258789,26.799999237060547,557.2000122070312,6.75,9.842000007629395,0.0010000000474974513,19.68000030517578,876.2000122070312,21.43000030517578,496.8999938964844,18.700000762939453,16.469999313354492,84900.0,545.5999755859375,2442.0,36.0,245.6999969482422,296.3999938964844,224.39999389648438,2086.0,51.47999954223633,456.3999938964844,109.69999694824219,326.79998779296875
2020-10-12,153.13999938964844,39.189998626708984,288.3299865722656,12.532999992370605,0.47099998593330383,143.49000549316406,111.56999969482422,157.14999389648438,79.62000274658203,159.4600067138672,242.8300018310547,55.45000076293945,364.1400146484375,163.1999969482422,11.336000442504883,62.25,30.15999984741211,82.87000274658203,170.61000061035156,6.920000076293945,24.530000686645508,2.319999933242798,10.640000343322754,65.4000015258789,10.765000343322754,33.935001373291016,70.2300033569336,26.969999313354492,561.4000244140625,7.400000095367432,9.788000106811523,0.0010000000474974513,19.850000381469727,884.2000122070312,21.18000030517578,498.5,18.700000762939453,16.09000015258789,85400.0,553.2000122070312,2460.0,36.0,248.10000610351562,296.3999938964844,220.10000610351562,2094.0,51.52000045776367,467.3999938964844,109.5999984741211,324.0
