Date,AAPL,MSFT,AMZN,GOOG,GOOGL,FB,TSLA,BABA,TSM,BRK-A,BRK-B,V,JNJ,WMT,JPM,PG,MA,UNH,DIS,NVDA,HD,BAC,PYPL,VZ,CMCSA,ADBE,NKE,NFLX,KO,TM,T,INTC,ASML,NVS,MRK,PFE,CRM,PEP,ABT,TMO,XOM,CSCO,ABBV,ORCL,CVX,ACN,AVGO,QCOM,DHR
2020-01-02,73.79750061035156,158.3300018310547,1864.1500244140625,1341.550048828125,1346.489990234375,206.27000427246094,84.34200286865234,216.5399932861328,59.599998474121094,340065,226.7100067138672,188.72000122070312,145.0800018310547,118.69999694824219,139.25999450683594,122.94000244140625,299.5,289.7900085449219,145.10000610351562,236.72000122070312,217.83999633789062,35.290000915527344,109.2750015258789,60.810001373291016,44.93000030517578,329.1700134277344,101.0199966430664,324.7799987792969,54.7599983215332,141.52999877929688,38.709999084472656,60.220001220703125,300.6099853515625,94.5,90.37000274658203,36.88804626464844,163.5800018310547,135.13999938964844,85.80000305175781,322.57000732421875,70.23999786376953,47.880001068115234,88.51000213623047,53.22999954223633,120.7699966430664,208.80999755859375,317.32000732421875,88.08000183105469,153.1300048828125
2020-01-03,74.125,158.05999755859375,1864.5,1345.5439453125,1347.3199462890625,206.9499969482422,87.38400268554688,216.00999450683594,58.040000915527344,337755,225.47999572753906,187.9199981689453,143.0,117.58999633789062,137.0800018310547,121.86000061035156,298.6000061035156,284.3599853515625,146.0500030517578,234.10000610351562,216.75,34.7599983215332,108.76000213623047,60.06999969482422,44.56999969482422,328.69000244140625,100.30999755859375,325.5299987792969,54.09000015258789,140.3000030517578,38.56999969482422,59.810001373291016,297.6600036621094,94.0999984741211,90.51000213623047,36.688804626464844,165.0,135.1300048828125,85.58999633789062,321.3299865722656,70.16000366210938,47.47999954223633,87.9000015258789,52.95000076293945,120.73999786376953,207.0,314.0799865722656,86.44000244140625,152.42999267578125
2020-01-06,73.1875,156.50999450683594,1860.0,1350.0,1351.0,206.52000427246094,88.0,214.08999633789062,57.130001068115234,337100,224.6999969482422,187.16000366210938,142.85000610351562,116.7699966430664,136.5,122.37999725341797,296.0199890136719,287.2200012207031,144.30999755859375,231.27000427246094,216.39999389648438,34.369998931884766,107.44000244140625,60.08000183105469,44.54999923706055,328.19000244140625,100.87000274658203,321.20001220703125,54.52000045776367,139.4600067138672,38.81999969482422,59.33000183105469,292.42999267578125,94.63999938964844,90.98999786376953,36.71726608276367,164.4499969482422,135.1999969482422,85.20999908447266,318.6499938964844,70.2300033569336,47.0099983215332,87.9800033569336,53.349998474121094,120.33000183105469,206.80999755859375,309.6300048828125,85.54000091552734,153.25999450683594
2020-01-07,74.37000274658203,157.32000732421875,1892.0400390625,1390.3800048828125,1391.56005859375,211.75,90.6719970703125,216.69000244140625,56.7400016784668,338200,225.44000244140625,188.60000610351562,141.3800048828125,116.19999694824219,135.82000732421875,121.87000274658203,299.8800048828125,287.5799865722656,145.4199981689453,236.38999938964844,216.89999389648438,34.529998779296875,109.52999877929688,59.58000183105469,44.220001220703125,332.30999755859375,100.80999755859375,330.29998779296875,54.150001525878906,141.36000061035156,38.97999954223633,58.88999938964844,297.4100036621094,94.43000030517578,89.12000274658203,36.69829177856445,172.08999633789062,133.9499969482422,85.54000091552734,324.9800109863281,69.51000213623047,47.099998474121094,88.26000213623047,53.61000061035156,117.7699966430664,203.19000244140625,312.25,86.91000366210938,154.10000610351562
2020-01-08,74.29000091552734,157.9499969482422,1886.43994140625,1390.8399658203125,1392.6300048828125,212.61000061035156,93.64600372314453,216.32000732421875,58.11000061035156,338850,225.8699951171875,188.8000030517578,143.6999969482422,115.68000030517578,135.60000610351562,122.0,300.510009765625,290.0400085449219,144.82000732421875,238.14999389648438,218.6699981689453,34.54999923706055,109.81999969482422,59.630001068115234,44.7599983215332,333.3999938964844,100.8499984741211,331.04998779296875,54.150001525878906,140.60000610351562,39.290000915527344,58.52000045776367,299.94000244140625,94.3499984741211,88.41000366210938,36.764705657958984,174.75,134.07000732421875,85.93000030517578,325.2200012207031,69.16999816894531,46.810001373291016,88.87000274658203,53.70000076293945,117.6500015258789,203.52999877929688,308.4100036621094,87.91999816894531,156.27000427246094
2020-01-09,76.55000305175781,161.02999877929688,1895.800048828125,1410.27001953125,1410.2099609375,216.27999877929688,94.5739974975586,220.82000732421875,58.70000076293945,340800,226.9199981689453,192.52000427246094,144.99000549316406,116.08000183105469,137.0399932861328,122.51000213623047,308.0199890136719,293.7200012207031,144.61000061035156,240.86000061035156,221.85000610351562,34.939998626708984,111.58999633789062,58.79999923706055,45.18000030517578,338.19000244140625,101.38999938964844,334.6099853515625,54.84000015258789,140.11000061035156,38.54999923706055,58.83000183105469,300.2699890136719,94.62000274658203,88.77999877929688,36.80265808105469,177.2899932861328,134.52999877929688,85.75,327.2699890136719,68.62999725341797,47.06999969482422,89.05000305175781,54.029998779296875,116.18000030517578,205.16000366210938,303.04998779296875,88.83000183105469,156.38999938964844
2020-01-10,77.0625,161.17999267578125,1880.0,1418.3499755859375,1419.5999755859375,217.4199981689453,94.73999786376953,222.06100463867188,58.77000045776367,340000,226.58999633789062,193.11000061035156,144.89999389648438,115.9800033569336,135.80999755859375,123.30000305175781,308.739990234375,292.2099914550781,144.25999450683594,243.75,223.02999877929688,34.65999984741211,112.2699966430664,58.84000015258789,44.93000030517578,339.6199951171875,100.76000213623047,327.2699890136719,55.45000076293945,139.47000122070312,38.56999969482422,58.869998931884766,295.55999755859375,93.79000091552734,89.44999694824219,36.97343444824219,178.69000244140625,134.38999938964844,85.16999816894531,327.70001220703125,69.12000274658203,47.060001373291016,88.83000183105469,54.220001220703125,116.4000015258789,206.72999572753906,298.79998779296875,89.87000274658203,157.3699951171875
2020-01-13,77.7874984741211,161.25999450683594,1880.800048828125,1426.02001953125,1425.3699951171875,219.2100067138672,98.4000015258789,227.0399932861328,59.45000076293945,339560,226.1300048828125,194.27999877929688,144.72000122070312,115.37000274658203,135.75999450683594,123.80999755859375,312.8999938964844,285.0199890136719,143.36000061035156,246.75,222.67999267578125,34.65999984741211,113.86000061035156,58.779998779296875,44.900001525878906,341.2200012207031,100.81999969482422,331.510009765625,55.41999816894531,139.72000122070312,38.02000045776367,59.08000183105469,297.5,93.47000122070312,89.0199966430664,37.20113754272461,181.1300048828125,134.6300048828125,84.73999786376953,326.7099914550781,69.11000061035156,47.29999923706055,87.91999816894531,54.36000061035156,116.08000183105469,207.49000549316406,299.6700134277344,90.55000305175781,158.1699981689453
2020-01-14,78.0425033569336,161.72000122070312,1858.550048828125,1428.3699951171875,1427.77001953125,218.6300048828125,104.9800033569336,224.8800048828125,59.91999816894531,340490,226.8800048828125,195.13999938964844,144.72999572753906,115.12999725341797,137.69000244140625,124.4800033569336,309.8599853515625,284.25,142.2899932861328,246.75,222.30999755859375,35.11000061035156,114.12000274658203,58.7599983215332,45.5,343.1499938964844,102.3499984741211,335.5199890136719,55.83000183105469,140.02000427246094,37.95000076293945,59.189998626708984,298.4700012207031,93.9800033569336,88.87000274658203,37.28652572631836,182.0399932861328,135.6999969482422,84.01000213623047,328.0400085449219,68.88999938964844,47.619998931884766,86.7699966430664,54.5,115.70999908447266,207.02999877929688,301.5899963378906,90.29000091552734,159.36000061035156
2020-01-15,77.38749694824219,162.57000732421875,1855.0899658203125,1430.2099609375,1431.6600341796875,220.13999938964844,103.35800170898438,224.38999938964844,58.2599983215332,340450,226.77999877929688,196.32000732421875,146.24000549316406,114.5199966430664,136.14999389648438,125.01000213623047,311.0400085449219,289.0,143.92999267578125,244.52999877929688,222.1300048828125,34.34000015258789,114.61000061035156,58.869998931884766,46.0099983215332,342.4599914550781,102.4800033569336,336.6000061035156,56.0,139.27999877929688,37.790000915527344,58.75,299.75,94.55999755859375,90.08999633789062,38.11195373535156,180.6199951171875,136.8000030517578,86.11000061035156,333.0,68.88999938964844,47.7599983215332,88.18000030517578,54.68000030517578,115.6500015258789,206.72999572753906,300.70001220703125,89.25,160.27000427246094
