Date,JNJ,MC,HD,OR,NOVN,PEP,ABT,LLY,PM,SAP,LIN,AZN,SIN,CAT,RDSA.AS,BMY,FP.PA,ALV,MMM,GE,ABBN.SW,DPW,CS,BMW.MI,UBSG.SW,BNP.PA,CFR,PHI,LONN.SW,GLX.SW,CSGN.SW,ALCN,HPQ,PGHN.SW,SCHN,SCMN.SW,CAP,UG,LINDT,GEBN.SW,SGSN.SW,LOGN,SOON.SW,SLHNE.SW,UHR.SW,BARN.SW,ADEN.SW,TECN.SW,SRCG.SW,ZURN.SW
2020-01-02,145.97000122070312,32.41999816894531,219.66000366210938,9.720000267028809,3.109999895095825,135.82000732421875,86.94999694824219,132.2100067138672,85.19000244140625,136.80999755859375,210.74000549316406,50.38999938964844,370.1499938964844,150.52999877929688,26.545000076293945,63.34000015258789,49.814998626708984,85.75,180.0,11.930000305175781,,2.4000000953674316,13.75,74.33999633789062,,53.58000183105469,97.8499984741211,19.729999542236328,,,,9.999999747378752e-06,20.790000915527344,,21.670000076293945,,24.0,20.299999237060547,,,,40.0,,,,,,,,
2020-01-03,144.27999877929688,31.59000015258789,218.92999267578125,9.640000343322754,0.8379999995231628,135.6300048828125,85.88999938964844,131.77000427246094,85.02999877929688,133.97999572753906,205.25999450683594,50.09000015258789,366.6099853515625,148.44000244140625,26.93000030517578,62.779998779296875,50.380001068115234,83.33999633789062,178.4499969482422,11.970000267028809,23.559999465942383,1.5199999809265137,13.479999542236328,73.19000244140625,12.375,52.939998626708984,96.87999725341797,19.809999465942383,354.3999938964844,6.75,13.15999984741211,9.999999747378752e-06,20.530000686645508,898.0,21.639999389648438,515.2000122070312,23.950000762939453,19.950000762939453,86800.0,546.4000244140625,2660.0,40.0,222.0,,270.6000061035156,2142.0,60.81999969482422,274.79998779296875,76.6500015258789,402.3999938964844
2020-01-06,144.10000610351562,31.559999465942383,219.9600067138672,9.569999694824219,0.8199999928474426,136.14999389648438,86.33999633789062,132.25999450683594,86.0199966430664,134.1999969482422,204.38999938964844,49.880001068115234,368.44000244140625,148.33999633789062,27.149999618530273,62.97999954223633,50.439998626708984,82.05000305175781,178.6199951171875,12.140000343322754,23.6299991607666,1.559999942779541,13.529999732971191,72.62999725341797,12.289999961853027,52.68000030517578,95.7699966430664,19.700000762939453,351.20001220703125,6.75,13.164999961853027,9.999999747378752e-06,20.610000610351562,897.5999755859375,21.6299991607666,517.5999755859375,23.950000762939453,19.899999618530273,86200.0,543.2000122070312,2643.0,40.0,222.3000030517578,,267.5,2146.0,60.97999954223633,271.0,78.80000305175781,400.1000061035156
2020-01-07,144.97999572753906,31.959999084472656,218.52000427246094,9.90999984741211,0.75,134.00999450683594,85.86000061035156,132.50999450683594,86.4000015258789,133.6199951171875,204.8300018310547,50.06999969482422,367.8399963378906,146.3800048828125,26.979999542236328,63.93000030517578,50.11000061035156,81.98999786376953,177.89999389648438,12.050000190734863,23.639999389648438,1.899999976158142,13.789999961853027,73.9000015258789,12.614999771118164,52.65999984741211,95.56999969482422,20.350000381469727,352.29998779296875,6.75,13.5,9.999999747378752e-06,20.65999984741211,903.7999877929688,21.65999984741211,518.5999755859375,23.950000762939453,20.100000381469727,86400.0,543.7999877929688,2639.0,40.0,223.1999969482422,,268.5,2162.0,61.119998931884766,274.0,79.1500015258789,401.70001220703125
2020-01-08,144.9600067138672,32.189998626708984,221.7899932861328,9.260000228881836,0.7599999904632568,134.6999969482422,86.20999908447266,133.7100067138672,88.04000091552734,135.0800018310547,207.38999938964844,49.95000076293945,370.8599853515625,147.67999267578125,26.825000762939453,63.86000061035156,50.2400016784668,82.08000183105469,180.6300048828125,11.9399995803833,23.649999618530273,1.6399999856948853,13.920000076293945,74.36000061035156,12.704999923706055,52.779998779296875,95.94999694824219,20.510000228881836,353.70001220703125,6.75,13.600000381469727,9.999999747378752e-06,20.93000030517578,917.4000244140625,21.670000076293945,518.7999877929688,23.950000762939453,19.75,86600.0,541.7999877929688,2634.0,40.0,223.6999969482422,,270.29998779296875,2132.0,61.52000045776367,276.3999938964844,78.5999984741211,401.1000061035156
2020-01-09,145.38999938964844,31.989999771118164,225.19000244140625,9.350000381469727,0.7099999785423279,134.7899932861328,86.44000244140625,135.9199981689453,88.27999877929688,137.1300048828125,208.85000610351562,50.08000183105469,371.4800109863281,147.30999755859375,26.639999389648438,65.44999694824219,49.959999084472656,80.97000122070312,181.1999969482422,11.90999984741211,23.520000457763672,1.5199999809265137,13.949999809265137,74.45999908447266,12.694999694824219,52.400001525878906,95.66000366210938,20.959999084472656,351.8999938964844,6.75,13.59000015258789,9.999999747378752e-06,21.239999771118164,913.4000244140625,21.110000610351562,520.0,23.950000762939453,19.670000076293945,87200.0,546.0,2617.0,40.0,223.0,,271.3999938964844,2130.0,61.599998474121094,277.79998779296875,79.44999694824219,399.6000061035156
2020-01-10,145.05999755859375,31.59000015258789,224.22000122070312,9.390000343322754,0.7459999918937683,134.52999877929688,85.36000061035156,138.0,87.45999908447266,136.97999572753906,209.0800018310547,49.849998474121094,366.9599914550781,146.1300048828125,26.6200008392334,65.2300033569336,49.78499984741211,79.29000091552734,180.47000122070312,11.670000076293945,23.40999984741211,1.5,13.739999771118164,74.66000366210938,12.65999984741211,52.15999984741211,94.2300033569336,21.020000457763672,355.8999938964844,6.75,13.479999542236328,9.999999747378752e-06,21.3799991607666,912.0,20.649999618530273,518.7999877929688,25.0,19.270000457763672,87600.0,544.2000122070312,2616.0,40.0,224.10000610351562,,270.3999938964844,2112.0,61.31999969482422,278.0,79.55000305175781,400.29998779296875
2020-01-13,145.6999969482422,32.41999816894531,223.33999633789062,9.140000343322754,0.6499999761581421,136.52999877929688,85.12000274658203,138.94000244140625,87.81999969482422,138.3300018310547,211.8000030517578,49.66999816894531,370.32000732421875,146.82000732421875,26.489999771118164,66.1500015258789,49.560001373291016,78.33999633789062,180.9199981689453,12.119999885559082,23.190000534057617,1.340000033378601,13.920000076293945,73.70999908447266,12.619999885559082,51.93000030517578,94.9800033569336,21.290000915527344,360.20001220703125,6.75,13.5,9.999999747378752e-06,21.459999084472656,914.5999755859375,20.780000686645508,519.2000122070312,25.0,19.649999618530273,88200.0,537.2000122070312,2625.0,39.15999984741211,222.89999389648438,,268.0,2118.0,61.040000915527344,277.79998779296875,79.44999694824219,398.1000061035156
2020-01-14,146.52000427246094,32.72999954223633,222.80999755859375,9.260000228881836,0.6710000038146973,136.85000610351562,85.73999786376953,140.64999389648438,87.58000183105469,137.25,209.9600067138672,50.18000030517578,370.29998779296875,146.67999267578125,26.44499969482422,66.44000244140625,49.15999984741211,79.44000244140625,181.3699951171875,12.029999732971191,23.139999389648438,1.440000057220459,14.020000457763672,73.2300033569336,12.760000228881836,52.16999816894531,95.48999786376953,21.5,358.1000061035156,6.75,13.670000076293945,9.999999747378752e-06,21.399999618530273,916.4000244140625,20.81999969482422,522.5999755859375,25.0,19.639999389648438,89700.0,543.4000244140625,2655.0,39.75,225.0,,271.1000061035156,2132.0,61.380001068115234,278.20001220703125,79.75,399.8999938964844
2020-01-15,147.00999450683594,33.45000076293945,224.58999633789062,9.4399995803833,0.6499999761581421,139.1999969482422,87.37999725341797,141.11000061035156,88.31999969482422,136.39999389648438,211.44000244140625,50.79999923706055,373.3999938964844,145.57000732421875,26.424999237060547,66.58000183105469,48.58000183105469,79.73999786376953,179.77999877929688,11.869999885559082,23.049999237060547,1.3899999856948853,13.84000015258789,72.19000244140625,12.630000114440918,50.959999084472656,94.68000030517578,21.149999618530273,358.70001220703125,6.75,13.414999961853027,9.999999747378752e-06,21.420000076293945,921.2000122070312,20.790000915527344,518.2000122070312,25.0,19.5,89200.0,541.4000244140625,2656.0,39.75,226.60000610351562,,271.0,2132.0,61.58000183105469,279.6000061035156,79.1500015258789,394.5
