Date,TCEHY,BABA,MOUTAI,1398.HK,PNGAY,PDD,CICHY,3968.HK,ACGBY,JD,LFC,BACHF,PTR,000333.SZ,XIACF,FOSHAN,600276.SS,CTGDF,002594.SZ,MINDRAY,002415.SZ,NIO,SNP,NTES,BIDU,600900.SS,002352.SZ,601166.SS,002475.SZ,000651.SZ,000001.SZ,002304.SZ,002714.SZ,2359.HK,600030.SS,601601.SS,CSUAY,600031.SS,WXXWY,600309.SS,2202.HK,601633.SS,300015.SZ,600887.SS,BKFCF,AS7.F,6862.HK,300059.SZ
2020-01-02,49.20000076293945,216.60000610351562,1128.0,6.0,23.75,38.5,17.15999984741211,40.400001525878906,11.010000228881836,35.959999084472656,14.0,0.41999998688697815,50.709999084472656,58.65999984741211,1.440000057220459,107.75,88.0,89.01000213623047,47.689998626708984,182.0,32.900001525878906,4.099999904632568,60.52000045776367,62.75600051879883,129.49000549316406,18.469999313354492,37.369998931884766,20.06999969482422,37.0,65.98999786376953,16.649999618530273,109.98999786376953,90.05000305175781,69.57140350341797,25.739999771118164,38.5,8.489999771118164,17.329999923706055,8.470000267028809,56.5,33.349998474121094,8.899999618530273,39.86000061035156,31.15999984741211,0.699999988079071,8.076000213623047,31.649999618530273,16.100000381469727
2020-01-03,48.79999923706055,216.35000610351562,1117.0,6.059999942779541,24.290000915527344,40.0,17.329999923706055,41.900001525878906,11.0600004196167,36.779998779296875,13.800000190734863,0.4300000071525574,51.119998931884766,59.900001525878906,1.409999966621399,108.5,88.0199966430664,91.0,48.20000076293945,182.08999633789062,33.900001525878906,3.5,61.369998931884766,64.65799713134766,134.5800018310547,18.5,37.650001525878906,20.200000762939453,37.79999923706055,68.37999725341797,16.940000534057617,111.12000274658203,92.37999725341797,68.57140350341797,25.34000015258789,39.400001525878906,8.479999542236328,17.8799991607666,8.670000076293945,55.900001525878906,34.349998474121094,9.25,39.599998474121094,32.0,0.699999988079071,8.050000190734863,32.45000076293945,15.890000343322754
2020-01-06,48.33000183105469,214.88999938964844,1070.8599853515625,5.940000057220459,24.239999771118164,40.54999923706055,17.100000381469727,41.25,10.9399995803833,37.459999084472656,13.899999618530273,0.41999998688697815,53.41999816894531,57.79999923706055,1.4170000553131104,104.72000122070312,85.55000305175781,90.22000122070312,47.38999938964844,176.9600067138672,34.0,4.190000057220459,61.849998474121094,64.73400115966797,132.77999877929688,18.540000915527344,37.099998474121094,20.059999465942383,37.0,66.80000305175781,17.010000228881836,111.5,89.5999984741211,68.07140350341797,25.059999465942383,39.5,8.479999542236328,17.700000762939453,8.361669540405273,56.70000076293945,33.29999923706055,9.100000381469727,39.290000915527344,31.469999313354492,0.699999988079071,7.960000038146973,33.0,15.859999656677246
2020-01-07,49.540000915527344,217.63999938964844,1077.5,5.929999828338623,24.489999771118164,40.709999084472656,17.0,40.849998474121094,10.8100004196167,38.08000183105469,14.210000038146973,0.41999998688697815,53.0,57.400001525878906,1.399999976158142,103.83000183105469,84.0999984741211,90.73999786376953,48.310001373291016,177.60000610351562,34.45000076293945,3.700000047683716,61.70000076293945,64.90799713134766,138.19000244140625,18.219999313354492,37.0,20.0,38.130001068115234,66.16999816894531,17.1299991607666,109.5,90.5,65.92859649658203,25.399999618530273,38.95000076293945,8.5,17.200000762939453,8.470000267028809,55.20000076293945,32.95000076293945,8.979999542236328,38.56999969482422,31.270000457763672,0.699999988079071,8.597999572753906,32.5,16.149999618530273
2020-01-08,49.209999084472656,216.60000610351562,1088.1400146484375,5.78000020980835,23.700000762939453,40.630001068115234,16.84000015258789,40.150001525878906,10.65999984741211,38.02000045776367,13.970000267028809,0.41999998688697815,52.91999816894531,57.5099983215332,1.4299999475479126,106.16999816894531,84.68000030517578,91.30000305175781,47.54999923706055,179.9499969482422,34.0099983215332,3.140000104904175,61.33000183105469,65.36000061035156,136.74000549316406,18.049999237060547,37.45000076293945,19.579999923706055,37.70000076293945,66.5999984741211,17.0,111.13999938964844,94.20999908447266,66.07140350341797,24.940000534057617,38.5,8.449999809265137,16.889999389648438,8.6850004196167,54.25,32.599998474121094,8.979999542236328,39.029998779296875,32.189998626708984,0.699999988079071,8.329999923706055,33.349998474121094,15.989999771118164
2020-01-09,49.9900016784668,221.5,1094.0,5.900000095367432,23.850000381469727,41.13999938964844,16.829999923706055,40.20000076293945,10.680000305175781,38.84000015258789,14.369999885559082,0.4300000071525574,52.18000030517578,58.79999923706055,1.5049999952316284,106.44999694824219,85.0,91.98999786376953,47.75,180.25,34.459999084472656,3.440000057220459,61.02000045776367,66.80000305175781,141.0,18.1200008392334,37.36000061035156,19.770000457763672,37.58000183105469,69.66000366210938,16.809999465942383,116.0,94.80000305175781,66.0,25.329999923706055,38.779998779296875,8.369999885559082,17.18000030517578,8.539999961853027,54.66999816894531,33.0,9.010000228881836,39.29999923706055,32.439998626708984,0.7300000190734863,8.8100004196167,33.75,15.890000343322754
2020-01-10,51.18000030517578,223.89999389648438,1109.0,6.0,24.709999084472656,40.25,16.850000381469727,40.5,10.800000190734863,39.38999938964844,14.489999771118164,0.4099999964237213,51.70000076293945,59.970001220703125,1.4800000190734863,108.30000305175781,87.4000015258789,95.18000030517578,47.65999984741211,189.72000122070312,34.470001220703125,3.490000009536743,61.29999923706055,67.87200164794922,142.6199951171875,18.06999969482422,37.2599983215332,19.700000762939453,40.33000183105469,70.01000213623047,16.790000915527344,116.1500015258789,93.4000015258789,69.28569793701172,25.959999084472656,38.91999816894531,8.15999984741211,17.110000610351562,8.354330062866211,55.36000061035156,33.75,9.050000190734863,41.939998626708984,32.5099983215332,0.7300000190734863,8.989999771118164,34.349998474121094,16.299999237060547
2020-01-13,51.9900016784668,228.80999755859375,1124.27001953125,5.960000038146973,24.34000015258789,39.0099983215332,17.139999389648438,40.5,10.649999618530273,39.68000030517578,14.520000457763672,0.41999998688697815,51.459999084472656,60.5,1.5199999809265137,108.30000305175781,87.83999633789062,91.0,51.61000061035156,188.0,34.75,3.7100000381469727,61.08000183105469,68.3499984741211,147.0,18.06999969482422,37.4900016784668,19.700000762939453,39.9900016784668,69.91999816894531,16.75,119.41999816894531,90.66000366210938,69.78569793701172,25.969999313354492,38.810001373291016,8.180000305175781,17.049999237060547,8.549969673156738,54.400001525878906,32.70000076293945,9.079999923706055,41.33000183105469,32.9900016784668,0.7300000190734863,8.789999961853027,35.29999923706055,15.829999923706055
2020-01-14,51.54999923706055,230.0500030517578,1107.4000244140625,5.980000019073486,25.100000381469727,39.369998931884766,17.360000610351562,41.599998474121094,10.779999732971191,40.029998779296875,14.40999984741211,0.41999998688697815,51.29999923706055,60.5,1.5099999904632568,105.9000015258789,86.51000213623047,88.83999633789062,55.0,189.35000610351562,35.56999969482422,3.700000047683716,60.380001068115234,69.90399932861328,140.67999267578125,18.18000030517578,38.02000045776367,19.75,41.9900016784668,70.05000305175781,16.989999771118164,119.30000305175781,91.55000305175781,70.14289855957031,25.559999465942383,38.869998931884766,8.399999618530273,16.969999313354492,8.449999809265137,55.06999969482422,33.0,8.9399995803833,41.11000061035156,32.72999954223633,0.7300000190734863,8.633999824523926,35.79999923706055,16.219999313354492
2020-01-15,51.380001068115234,226.64999389648438,1109.010009765625,5.960000038146973,25.0,37.939998626708984,17.40999984741211,41.04999923706055,10.800000190734863,40.02000045776367,14.390000343322754,0.4300000071525574,50.939998626708984,59.900001525878906,1.5700000524520874,105.9000015258789,86.6500015258789,88.83999633789062,54.0099983215332,187.0,35.31999969482422,4.190000057220459,60.0,70.0,139.57000732421875,18.139999389648438,37.400001525878906,19.780000686645508,41.79999923706055,70.12999725341797,16.790000915527344,116.5999984741211,94.9800033569336,70.67859649658203,25.399999618530273,38.599998474121094,8.069999694824219,16.959999084472656,8.520000457763672,55.0,32.349998474121094,8.930000305175781,41.220001220703125,32.70000076293945,0.7300000190734863,8.998000144958496,35.75,15.819999694824219
