Date,MITSUB,MITSY,SZKMY,TM,SNE
2020-01-02,,,,,
2020-01-03,0.0,-0.7960552766907023,-0.52172911307707,-1.0475252011038736,-1.4190522965799417
2020-01-06,0.0,1.7631060909473344,-0.9565560025121653,0.014211811604382507,1.512922882958605
2020-01-07,1.1962501098558762,0.17492201292141152,0.4904196153651116,0.5256740494333072,1.577195725145927
2020-01-08,-1.5590146389906256,0.6374858963873398,-0.8982028415628401,-0.2473270982087412,0.37037566331563837
2020-01-09,1.0093884738478416,0.24787086115307175,1.1087661138074516,-0.4604763147460036,0.8089698595416164
2020-01-10,-0.1722915495037975,-1.392885764007973,0.32568876133559843,-0.5551189674857943,-0.2393418019583785
2020-01-13,0.17259335125047603,0.47642361877943235,-0.22635270586471218,0.5939955137183699,1.100766998518614
2020-01-14,0.17229597984479206,-0.6100483465507436,0.46567570091795346,-0.1351726268469808,1.1585653501731166
2020-01-15,-0.9631855308184282,-0.8118750077546527,1.9312986680854671,-0.7195177473041457,-1.2005005150029275
2020-01-16,-0.2605153386703876,0.005637859991675348,2.7837732222754337,0.5310038065915392,1.42459732118973
2020-01-17,0.679092917367206,0.5231374859997366,3.6555925917905614,-0.04284432677373573,-0.19278384576617422
2020-01-21,0.4842536269795674,0.9681073732629247,1.094398854281959,1.6709684617095881,-0.48290639831959054
2020-01-22,-0.4991392545585371,-0.5182110254928407,-1.2232749606189146,-0.5759371891307004,0.3465993449596206
2020-01-23,-0.968683772419242,0.4679906161094193,-1.8685944065822284,1.0596224547146755,0.2901293694910362
2020-01-24,0.6637530269677394,-0.3743053195970535,-2.9400327640941026,-0.20970243683413628,-0.978095992265624
2020-01-27,-1.1799371794319402,-0.8404832809371366,0.6357367067856411,-1.1908109683455956,-0.7929886295679817
2020-01-28,-0.7199325902765182,0.6679774708569624,2.217578957314939,1.0775589672133117,0.9956526179603656
2020-01-29,0.31836327690853505,-0.2983220150662833,0.43960702537961094,-0.7223945580720579,-0.3054562746456618
2020-01-30,-0.916791332062202,0.15381100189612368,1.6036967036803702,-0.3320351672234092,-0.9192298363640127
2020-01-31,0.46263708270423887,-1.6752357136448874,0.7645258638287449,-1.5877574667829755,-1.3494437682244143
2020-02-03,-0.8855833146055779,1.2125173639828752,0.6037219192113861,0.05761810060715604,0.42747577811851
2020-02-04,0.5897016297737597,-0.8052012137547863,-0.6298346073753069,1.4612662869408222,3.5754729712550044
2020-02-05,2.0429922421920166,1.8469263173801824,0.5821434412584803,0.546301296387157,-3.4109539605508035
2020-02-06,2.22842357330559,0.6359506779893487,0.500342252837962,1.502968327104891,1.474967359496494
2020-02-07,-0.5449640286191872,-0.4856766567276246,0.6754512753586581,-1.0497173924989742,-2.040539570012399
2020-02-10,-0.42807806814422755,-1.0454229257112884,-0.12937337256545967,-0.7446922145060103,0.11414648270509939
2020-02-11,-0.3181421370937378,0.32226659433806026,1.213512967679408,0.5874897356384131,0.2137683539891312
2020-02-12,-0.3191575116219069,-0.7904986198511016,-3.9559914968090055,0.22516915554135347,0.6399261885000821
2020-02-13,-0.03462049411995471,0.0647493693263288,1.6547241848609868,-0.9337744892683251,-1.6532394682909721
2020-02-14,-0.6405805485310984,-0.9116501119052408,-0.517316404547598,-0.6732984635494399,-1.1063244886937849
2020-02-18,-0.784115538372533,-0.4798951313259591,-2.0746005725868355,-0.5493975177325006,-3.1817543575441496
2020-02-19,-0.3863621332538606,-0.1540760450443221,-0.37255497582806774,-1.104898564515485,0.6452589344384562
2020-02-20,0.5641618148508389,-1.5774608407014699,-3.7785297760027174,0.9213556090135226,-0.4920228268630449
2020-02-21,0.45582408062531804,-0.0696821274663704,1.3631087954725558,-0.05032775560089574,-1.1986800440076917
2020-02-24,-1.1605565327342475,-3.8265993704125187,-3.1473507065057964,-3.272426340165309,-3.0482245078116823
2020-02-25,-1.1741835971775858,1.2084610153736952,-1.5420985296911713,-0.3420401133836631,-0.54747239413652
2020-02-26,-0.142932709702829,0.8507455347101298,2.5564083156542927,0.8207241955355771,0.5662108882613984
2020-02-27,-1.80712108296562,-2.471509236653612,-3.9613759083454263,-2.760322275119001,-4.770095152658064
2020-02-28,-1.9679302549364408,-3.456762008029273,-3.4850441045118927,-0.49466737156144414,2.151422292394135
2020-03-02,-0.910782637638622,0.48726454902062705,1.0100324297082817,1.4990526172754115,3.151129622132852
2020-03-03,-1.2567970692515904,-1.3983606433705187,0.8030771400413169,-1.326208232491969,-1.5274334045958646
2020-03-04,0.24696241610764527,5.016016862344411,-0.8338776958211147,0.6872977759835254,2.5482681736448907
2020-03-05,1.023303908501376,-1.0906246886501023,-2.879026437123886,-2.009873243394967,-2.0836546907185607
2020-03-06,-2.457323537114148,-1.023252209997867,-4.612314611267607,-1.61764149938105,-0.5044106203031401
2020-03-09,-4.94231131787142,-5.610427245963264,-6.772161404498046,-3.398630721946852,-7.271867059291212
2020-03-10,-0.4450629116185766,0.9775786231881461,4.8463456171233394,3.4204709439095766,3.0753522636976607
2020-03-11,-1.5850559820709975,-2.4218885230382,-2.851415485541713,-3.307344196648147,-4.21017830364482
2020-03-12,-2.973364135946492,-8.401635489859766,-13.296855153622388,-8.624481522374081,-9.032706060238636
2020-03-13,-4.383905558460808,3.4232996896418033,1.5901694889596423,3.5918010683293673,7.133347599902294
2020-03-16,-0.5341604964996991,-6.129602077561249,-10.17427842398851,-6.650610281809609,-8.238634663928291
2020-03-17,2.7522928376869995,4.783591635393174,-1.0599163428275287,9.576037872936608,6.811141680045309
