Date,MOUTAI,MINDRAY,BABA,CTGDF,FOSHAN
2020-01-02,,,,,
2020-01-03,-4.552202626513703,-1.2920737228450638,-1.2604105285572926,1.0327568363500197,-2.3981453567974143
2020-01-06,-0.052853674784560586,-0.7752852837605,-0.16589889877952188,-1.0771585237444157,-1.698129336078593
2020-01-07,1.5343346779043725,2.310041465022754,0.4569818574378039,1.0111129245291528,2.2968482940672925
2020-01-08,-0.583806967073006,-0.3043714148171466,0.17001107792408116,0.42899647174094735,0.16037593777748108
2020-01-09,1.3380479823277625,5.38995402986141,1.7339443941728785,2.9572831013688217,1.525861764796832
2020-01-10,0.8887429477111476,-1.2430187836876903,0.9243408165935927,0.36169336859101775,0.15771266789909708
2020-01-13,1.057971407042249,0.4266719392328024,2.9710020292559864,-3.54037681542488,0.3149286534169116
2020-01-14,-1.5005253920448212,-0.6903880254511318,-1.7311655277413722,-2.373637689576377,-2.2160631501167543
2020-01-15,0.4271292478316299,0.7700481839128751,-0.6313779415814134,0.5853316497178727,1.3880977561104848
2020-01-16,-0.4612800176250275,2.26066841182061,-0.4976429082631106,1.152641084206287,1.0431232260157035
2020-01-17,0.0451592376299611,0.18162773616146086,1.5584487792832609,-0.5974161952894845,1.2627896896272262
2020-01-21,-2.907441710887429,0.16575903513519355,-2.2732261950672044,-6.78908638235506,1.9024200500026451
2020-01-22,0.019524188632144533,-0.05170703441826849,0.04949186226500641,0.9910387883902025,-1.974098724214653
2020-01-23,-2.1115536750670123,-2.5974075467015307,-1.4570267147182097,-3.050367904314455,-2.3054478746181593
2020-01-24,-2.321428403853345,-0.5976108282773349,-2.4551657750793403,-4.999996264226758,-2.509094082957822
2020-01-27,0.0,0.0,-3.8736836394371346,0.0,0.0
2020-01-28,0.0,0.0,2.3166372115426324,0.0,0.0
2020-01-29,0.0,0.0,0.851452495504852,0.0,0.0
2020-01-30,0.0,0.0,-1.622489563289307,0.0,0.0
2020-01-31,0.0,0.0,-0.9540730058943637,0.0,0.0
2020-02-03,-2.3765994587342267,-0.6012036866085099,3.1511737649568716,-5.263153755376073,-2.573669881673766
2020-02-04,3.3956852462331955,7.521513479800718,4.58939394612038,1.7344156005877618,0.8347247178160102
2020-02-05,1.1541314627441495,10.000500261332823,-1.193468953622812,3.5961634069103314,1.2855465419464762
2020-02-06,2.00097574722405,0.8409402191821161,0.30877879938788755,3.8827500884922643,1.2019263907077886
2020-02-07,0.46685267590749696,-2.6911281309283015,-1.9782685549712349,-0.7425835713372428,1.1876443681438291
2020-02-10,-0.8838359492499538,4.428587737027826,-0.35098808992771835,-1.4962591611162834,-0.657273311996709
2020-02-11,2.95455816588815,-0.989218567906223,0.6673784181734237,1.3291185993040804,1.1342174290236084
2020-02-12,-0.06648326687820584,2.150543622184451,3.268721801606231,0.43722825109464913,0.07476696105693688
2020-02-13,-0.5714206608675818,-0.39473497361155013,-1.7609544787277356,-1.5422876283795022,-2.222646281767605
2020-02-14,-0.2749743980180835,4.16115622207545,-0.331274153892337,2.2486054449443045,0.0
2020-02-18,-0.3676510232423356,2.4265471475222165,0.4052266857268815,-0.9142598593966038,-1.2607442684658228
2020-02-19,1.153140467291966,-3.091335164552619,0.7346250162347914,3.877810403685932,0.44496211756607507
2020-02-20,1.9607801177928148,0.08092550599028374,-1.8456856553438354,2.988837271555303,1.964558346630199
2020-02-21,-0.4579523461359287,2.2766847044980087,-2.4995400458897388,-0.8508159964582432,-0.9539042495122847
2020-02-24,-2.309328943658229,4.052592505384108,-3.0245979521827624,-2.468554870343502,-0.8868130230941688
2020-02-25,-1.1377947814154736,3.718813031093312,-0.26678455664912776,-1.3619411870908003,-1.702909185345357
2020-02-26,-0.1032840750984972,-4.425942518942409,1.52230186932596,-2.0039122637791076,-1.301748479763206
2020-02-27,1.2750351038946461,-1.1294831098101117,-1.7773338201759858,0.31171906705817753,1.596583498584329
2020-02-28,-2.7947724520689823,-2.4887794818371285,1.4485691061726838,-2.423860726248166,-2.801362194088281
2020-03-02,2.744560820145938,1.6610833030827246,1.4326902536245356,-0.14013289406035156,2.3799931187450096
2020-03-03,2.485242278400469,7.828120205184234,-1.6920997903706332,0.9950267225978825,1.7655744509372235
2020-03-04,1.430370533108775,-1.9008208894206495,2.1937240110993876,-0.13893730902528556,0.3373512164346386
2020-03-05,3.727455006278605,1.6380665844494682,-0.23589355735158515,6.387551069691913,2.219026173212745
2020-03-06,-1.323656121500896,0.8728170908235195,-3.225199615853178,-0.9986975094249602,-0.6766335952045957
2020-03-09,-3.590646562411807,0.9601514830875124,-3.4108657878994015,-4.971774430890122,-3.5859579801259422
2020-03-10,3.769261886045462,-2.492201631658607,4.4166728553049035,2.9698042096744333,2.374875795604028
2020-03-11,0.2179986366271682,-4.032372175432337,-3.6242045397836384,1.4482034635635561,1.207822666676349
2020-03-12,-1.7280752669087514,-1.940231347414385,-6.942837114443462,-4.330989415914384,-2.765672227797418
2020-03-13,-2.324983533834391,0.8684628774691592,4.808208321455785,5.703076843367788,-1.6364681234206608
2020-03-16,-4.04935673745962,-2.294602891538905,-7.809275204373389,-6.926656713915513,-2.951082251776172
2020-03-17,-2.0524797686650547,0.756505524637232,3.3323965623062635,-0.7455063640463055,-1.0204124971724466
2020-03-18,-3.5508565564791637,-3.3250843054949693,-2.602671728875879,-2.382811213817294,0.0
2020-03-19,-1.1894961977361003,-3.3882432195552834,0.48889160156249994,-4.59007383009224,-3.711338649689095
2020-03-20,3.943776725745222,4.840993865858147,0.23219712384319013,5.116794403196652,7.1092077299853
